Script started on Tue May 23 18:48:17 2017
bash-3.2$ exitclearat g000.csvbash-3.2$ ls[Kscreen /dev/tty.G-Rays1-SPPslave
[?1h=[0m(B[1;24r[H[J[H[J5.700,A,3540.4432,N,13943.1907,E,0.64,242.29,230517,,,A*6F
$GPRMC,094545.800,A,3540.4432,N,13943.1907,E,0.67,241.23,230517,,,A*6A
$GPRMC,094545.900,A,3540.4432,N,13943.1906,E,0.72,240.59,230517,,,A*62
$GPRMC,094546.000,A,3540.4432,N,13943.1906,E,0.64,239.92,230517,,,A*66
$GPRMC,094953.700,A,3540.4963,N,13943.1660,E,7.06,327.64,230517,,,A*6B
$GPRMC,094953.800,A,3540.4965,N,13943.1659,E,7.18,327.03,230517,,,A*66
$GPRMC,094953.900,A,3540.4966,N,13943.1657,E,7.28,326.25,230517,,,A*6C
$GPRMC,094954.000,A,3540.4968,N,13943.1655,E,7.41,325.71,230517,,,A*63
$GPRMC,094954.100,A,3540.4970,N,13943.1653,E,7.50,324.71,230517,,,A*6C
$GPRMC,094954.200,A,3540.4972,N,13943.1651,E,7.62,323.77,230517,,,A*6F
$GPRMC,094954.300,A,3540.4973,N,13943.1649,E,7.72,322.74,230517,,,A*65
$GPRMC,094954.400,A,3540.4975,N,13943.1647,E,7.84,321.76,230517,,,A*62
$GPRMC,094954.500,A,3540.4977,N,13943.1645,E,7.96,320.85,230517,,,A*6D
$GPRMC,094954.600,A,3540.4979,N,13943.1643,E,8.08,320.14,230517,,,A*66
$GPRMC,094954.700,A,3540.4980,N,13943.1641,E,8.19,319.33,230517,,,A*6C
$GPRMC,094954.800,A,3540.4982,N,13943.1638,E,8.32,318.47,230517,,,A*64
$GPRMC,094954.900,A,3540.4984,N,13943.1636,E,8.44,317.58,230517,,,A*6D
$GPRMC,094955.000,A,3540.4986,N,13943.1633,E,8.60,316.77,230517,,,A*68
$GPRMC,094955.100,A,3540.4987,N,13943.1631,E,8.74,315.90,230517,,,A*65
$GPRMC,094955.200,A,3540.4989,N,13943.1628,E,8.88,314.97,230517,,,A*65
$GPRMC,094955.300,A,3540.4991,N,13943.1625,E,9.04,313.88,230517,,,A*6C
$GPRMC,094955.400,A,3540.4992,N,13943.1622,E,9.16,312.89,230517,,,A*6C
$GPRMC,094955.500,A,3540.4994,N,13943.1619,E,9.31,311.83,230517,,,A*6F
$GPRMC,094955.600,A,3540.4995,N,13943.1616,E,9.44,310.78,230517,,,A*65
$GPRMC,094955.700,A,3540.4997,N,13943.1613,E,9.57,309.67,230517,,,A*67
$GPRMC,094955.800,A,3540.4998,N,13943.1610,E,9.72,308.60,230517,,,A*65
$GPRMC,094955.900,A,3540.5000,N,13943.1607,E,9.86,307.42,230517,,,A*6F
$GPRMC,094956.000,A,3540.5001,N,13943.1603,E,10.00,306.44,230517,,,A*51
$GPRMC,094956.100,A,3540.5003,N,13943.1600,E,10.16,305.40,230517,,,A*51
$GPRMC,094956.200,A,3540.5004,N,13943.1596,E,10.31,304.29,230517,,,A*52
$GPRMC,094956.300,A,3540.5005,N,13943.1593,E,10.48,303.30,230517,,,A*56
$GPRMC,094956.400,A,3540.5007,N,13943.1589,E,10.65,302.37,230517,,,A*51
$GPRMC,094956.500,A,3540.5008,N,13943.1585,E,10.80,301.44,230517,,,A*5F
$GPRMC,094956.600,A,3540.5009,N,13943.1581,E,10.96,300.65,230517,,,A*5C
$GPRMC,094956.700,A,3540.5010,N,13943.1577,E,11.14,299.80,230517,,,A*5D
$GPRMC,094956.800,A,3540.5012,N,13943.1573,E,11.32,298.79,230517,,,A*57
