FSW 東ゲート - グランドスタンド,00f0f0f0
,3522.1398,13856.3059
,3522.1467,13856.3070
,3522.1518,13856.3079
,3522.1571,13856.3074
,3522.1629,13856.3065
,3522.1679,13856.3053
,3522.1713,13856.3041
,3522.1746,13856.3022
,3522.1789,13856.2990
,3522.1824,13856.2958
,3522.1859,13856.2921
,3522.1913,13856.2861
,3522.1965,13856.2785
,3522.2005,13856.2714
,3522.2037,13856.2652
,3522.2075,13856.2558
,3522.2097,13856.2479
,3522.2113,13856.2405
,3522.2127,13856.2323
,3522.2132,13856.2273
,3522.2133,13856.2227
,3522.2135,13856.2138
,3522.2132,13856.2053
,3522.2127,13856.1951
,3522.2122,13856.1659
,3522.2107,13856.1183
,3522.2096,13856.0716
,3522.2088,13856.0417
,3522.2087,13856.0327
,3522.2092,13856.0225
,3522.2129,13856.0053
,3522.2189,13855.9907
,3522.2236,13855.9818
,3522.2287,13855.9752
,3522.2349,13855.9685
,3522.2496,13855.9557
,3522.2644,13855.9425
,3522.2733,13855.9347
,3522.2904,13855.9196
,3522.2971,13855.9136
,3522.3012,13855.9108
,3522.3065,13855.9081
,3522.3109,13855.9066
,3522.3165,13855.9059
,3522.3216,13855.9062
,3522.3254,13855.9071
,3522.3302,13855.9089
,3522.3350,13855.9117
,3522.3395,13855.9153
,3522.3539,13855.9298
,3522.3650,13855.9408
,3522.3798,13855.9554
,3522.3911,13855.9663
,3522.4025,13855.9780
,3522.4107,13855.9878
,3522.4338,13856.0149
,3522.4539,13856.0386
,3522.4832,13856.0735
,3522.4983,13856.0912
,3522.5015,13856.0944
,3522.5078,13856.0997
,3522.5148,13856.1051
,3522.5219,13856.1096
,3522.5306,13856.1137
,3522.5321,13856.1145
,3522.5421,13856.1178
,3522.5528,13856.1202
,3522.5625,13856.1214
,3522.5712,13856.1216
,3522.5909,13856.1198
,3522.6022,13856.1184
,3522.6167,13856.1167
,3522.6302,13856.1150
,3522.6345,13856.1142
,3522.6386,13856.1127
,3522.6419,13856.1101
,3522.6457,13856.1065
,3522.6498,13856.0997
,3522.6522,13856.0924
,3522.6527,13856.0846
,3522.6516,13856.0775
,3522.6501,13856.0727
,3522.6411,13856.0568
,3522.6360,13856.0480
,3522.6301,13856.0376
,3522.6255,13856.0287
,3522.6219,13856.0220
,3522.6192,13856.0154
,3522.6171,13856.0094
,3522.6167,13856.0052
,3522.6147,13855.9961
,3522.6126,13855.9832
,3522.6104,13855.9749
,3522.6072,13855.9671
,3522.6048,13855.9621
,3522.6021,13855.9583
,3522.5727,13855.9136
,3522.5504,13855.8798
,3522.5427,13855.8673
,3522.5326,13855.8519
,3522.5180,13855.8298
,3522.5046,13855.8100
,3522.4906,13855.7880
,3522.4817,13855.7734
,3522.4871,13855.7685
,3522.4901,13855.7742
,3522.4958,13855.7830
,3522.5063,13855.7994
,3522.5151,13855.8131
,3522.5302,13855.8357
,3522.5494,13855.8652
,3522.5703,13855.8972
,3522.5939,13855.9326
,3522.6049,13855.9498
,3522.6100,13855.9579
,3522.6144,13855.9670
,3522.6186,13855.9792
,3522.6200,13855.9888
,3522.6225,13856.0030
,3522.6254,13856.0133
,3522.6278,13856.0188
,3522.6315,13856.0258
,3522.6408,13856.0414
,3522.6492,13856.0566
,3522.6555,13856.0680
,3522.6575,13856.0731
,3522.6584,13856.0786
,3522.6592,13856.0874
,3522.6592,13856.0930
,3522.6575,13856.1000
,3522.6554,13856.1049
,3522.6520,13856.1111
,3522.6487,13856.1151
,3522.6451,13856.1186
,3522.6414,13856.1207
,3522.6367,13856.1228
,3522.6339,13856.1234
,3522.6206,13856.1247
,3522.6029,13856.1266
,3522.5900,13856.1280
,3522.5747,13856.1295
,3522.5658,13856.1296
,3522.5575,13856.1293
,3522.5503,13856.1280
,3522.5409,13856.1258
,3522.5336,13856.1234
,3522.5298,13856.1217
,3522.5181,13856.1159
,3522.5102,13856.1112
,3522.5017,13856.1046
,3522.4959,13856.0992
,3522.4868,13856.0894
,3522.4693,13856.0688
,3522.4524,13856.0487
,3522.4407,13856.0349
,3522.4282,13856.0197
,3522.4102,13855.9986
,3522.3990,13855.9854
,3522.3908,13855.9765
,3522.3792,13855.9654
,3522.3638,13855.9502
,3522.3470,13855.9335
,3522.3386,13855.9251
,3522.3329,13855.9201
,3522.3276,13855.9165
,3522.3213,13855.9142
,3522.3146,13855.9143
,3522.3101,13855.9150
,3522.3047,13855.9175
,3522.3005,13855.9206
,3522.2919,13855.9286
,3522.2749,13855.9434
,3522.2586,13855.9581
,3522.2411,13855.9740
,3522.2372,13855.9771
,3522.2323,13855.9831
,3522.2282,13855.9885
,3522.2243,13855.9955
,3522.2207,13856.0041
,3522.2188,13856.0092
,3522.2171,13856.0167
,3522.2159,13856.0235
,3522.2153,13856.0318
,3522.2156,13856.0431
,3522.2160,13856.0583
,3522.2163,13856.0817
,3522.2169,13856.0904
,3522.2172,13856.0965
,3522.2174,13856.1057
,3522.2176,13856.1241
,3522.2180,13856.1477
,3522.2187,13856.1566
,3522.2195,13856.1747
,3522.2195,13856.1921
,3522.2201,13856.2134
,3522.2201,13856.2248
,3522.2196,13856.2288
,3522.2180,13856.2412
,3522.2165,13856.2476
,3522.2144,13856.2569
,3522.2117,13856.2643
,3522.2084,13856.2718
,3522.2041,13856.2798
,3522.2000,13856.2864
,3522.1948,13856.2933
,3522.1899,13856.2990
,3522.1844,13856.3040
,3522.1783,13856.3091
,3522.1742,13856.3119
,3522.1693,13856.3149
,3522.1635,13856.3176
,3522.1581,13856.3199
,3522.1505,13856.3227
,3522.1422,13856.3247
,3522.1362,13856.3259
