FSW グランドスタンド - 西ゲート,00f0f0f0
,3522.4817,13855.7734
,3522.4790,13855.7675
,3522.4766,13855.7635
,3522.4731,13855.7584
,3522.4677,13855.7503
,3522.4505,13855.7242
,3522.4325,13855.6963
,3522.4088,13855.6600
,3522.4022,13855.6503
,3522.4003,13855.6455
,3522.3995,13855.6419
,3522.3991,13855.6384
,3522.3992,13855.6352
,3522.3999,13855.6308
,3522.4008,13855.6267
,3522.4027,13855.6229
,3522.4082,13855.6150
,3522.4188,13855.5991
,3522.4213,13855.5930
,3522.4217,13855.5888
,3522.4211,13855.5842
,3522.4200,13855.5812
,3522.3936,13855.5415
,3522.3773,13855.5163
,3522.3701,13855.5054
,3522.3663,13855.4992
,3522.3633,13855.4965
,3522.3599,13855.4944
,3522.3563,13855.4935
,3522.3533,13855.4941
,3522.3380,13855.5000
,3522.3184,13855.5074
,3522.3134,13855.5094
,3522.3099,13855.5091
,3522.3072,13855.5076
,3522.3050,13855.5055
,3522.2999,13855.4976
,3522.2873,13855.4782
,3522.2649,13855.4438
,3522.2556,13855.4293
,3522.2526,13855.4212
,3522.2504,13855.4100
,3522.2495,13855.4016
,3522.2481,13855.3936
,3522.2459,13855.3891
,3522.2346,13855.3718
,3522.2269,13855.3603
,3522.2196,13855.3476
,3522.2160,13855.3428
,3522.2108,13855.3386
,3522.2035,13855.3365
,3522.1877,13855.3372
,3522.1805,13855.3359
,3522.1731,13855.3317
,3522.1695,13855.3280
,3522.1596,13855.3128
,3522.1471,13855.2939
,3522.1255,13855.2606
,3522.1047,13855.2289
,3522.0849,13855.1987
,3522.0672,13855.1709
,3522.0611,13855.1628
,3522.0552,13855.1553
,3522.0503,13855.1511
,3522.0438,13855.1464
,3522.0371,13855.1426
,3522.0215,13855.1340
,3522.0144,13855.1352
,3522.0077,13855.1347
,3522.0008,13855.1338
,3521.9948,13855.1317
,3521.9882,13855.1278
,3521.9953,13855.1097
,3522.0225,13855.1254
,3522.0407,13855.1356
,3522.0459,13855.1388
,3522.0561,13855.1464
,3522.0629,13855.1533
,3522.0660,13855.1574
,3522.0704,13855.1638
,3522.1045,13855.2156
,3522.1434,13855.2749
,3522.1701,13855.3151
,3522.1743,13855.3219
,3522.1786,13855.3261
,3522.1850,13855.3294
,3522.1954,13855.3293
,3522.2043,13855.3290
,3522.2090,13855.3296
,3522.2140,13855.3318
,3522.2187,13855.3356
,3522.2238,13855.3421
,3522.2375,13855.3629
,3522.2492,13855.3809
,3522.2519,13855.3859
,3522.2543,13855.3914
,3522.2556,13855.3989
,3522.2577,13855.4148
,3522.2587,13855.4200
,3522.2613,13855.4256
,3522.2688,13855.4374
,3522.2909,13855.4711
,3522.3068,13855.4954
,3522.3096,13855.4991
,3522.3125,13855.5003
,3522.3154,13855.5003
,3522.3373,13855.4917
,3522.3501,13855.4872
,3522.3558,13855.4862
,3522.3594,13855.4865
,3522.3644,13855.4880
,3522.3695,13855.4923
,3522.3741,13855.4988
,3522.3916,13855.5261
,3522.4148,13855.5606
,3522.4235,13855.5751
,3522.4268,13855.5805
,3522.4280,13855.5864
,3522.4276,13855.5931
,3522.4263,13855.5996
,3522.4241,13855.6037
,3522.4100,13855.6241
,3522.4073,13855.6287
,3522.4056,13855.6334
,3522.4056,13855.6392
,3522.4067,13855.6436
,3522.4085,13855.6477
,3522.4232,13855.6698
,3522.4584,13855.7233
,3522.4804,13855.7559
,3522.4871,13855.7685
