FSW 東ゲート付近,00f0f0f0
,3521.9932,13856.2108
,3521.9957,13856.2122
,3521.9979,13856.2122
,3522.0027,13856.2092
,3522.0068,13856.2078
,3522.0105,13856.2069
,3522.0153,13856.2089
,3522.0187,13856.2116
,3522.0457,13856.2346
,3522.0563,13856.2401
,3522.0648,13856.2423
,3522.0710,13856.2462
,3522.0811,13856.2531
,3522.0930,13856.2627
,3522.1020,13856.2727
,3522.1109,13856.2818
,3522.1230,13856.2987
,3522.1287,13856.3017
,3522.1335,13856.3037
,3522.1400,13856.3056
,3522.1360,13856.3260
,3522.1210,13856.3258
,3522.1140,13856.3239
,3522.1074,13856.3209
,3522.1015,13856.3170
,3522.0971,13856.3131
,3522.0915,13856.3074
,3522.0812,13856.2978
,3522.0743,13856.2921
,3522.0678,13856.2848
,3522.0623,13856.2782
,3522.0579,13856.2719
,3522.0542,13856.2650
,3522.0519,13856.2609
,3522.0486,13856.2544
,3522.0475,13856.2512
,3522.0321,13856.2380
,3522.0152,13856.2233
,3522.0099,13856.2181
,3522.0081,13856.2175
,3522.0057,13856.2176
,3522.0017,13856.2205
,3521.9983,13856.2240
,3521.9972,13856.2258
