FSW 西ゲート付近,00f0f0f0
,3521.9374,13855.0090
,3521.9399,13855.0110
,3521.9396,13855.0152
,3521.9433,13855.0210
,3521.9369,13855.0419
,3521.9577,13855.0622
,3521.9682,13855.0725
,3521.9735,13855.0774
,3521.9834,13855.0902
,3521.9849,13855.0887
,3521.9831,13855.0868
,3521.9889,13855.0705
,3521.9986,13855.0842
,3522.0024,13855.0861
,3521.9968,13855.0994
,3521.9942,13855.1057
,3521.9942,13855.1080
,3521.9954,13855.1097
,3521.9846,13855.1376
,3521.9835,13855.1367
,3521.9822,13855.1355
,3521.9690,13855.1351
,3521.9670,13855.1336
,3521.9664,13855.1311
,3521.9704,13855.1204
,3521.9603,13855.1194
,3521.9543,13855.1263
,3521.9523,13855.1322
,3521.9024,13855.1299
