FSW Aパドック付近,00f0f0f0
,3522.3257,13855.7880
,3522.3661,13855.8376
,3522.3769,13855.8511
,3522.4113,13855.8817
,3522.4234,13855.8975
,3522.4383,13855.9207
,3522.4488,13855.9288
,3522.4562,13855.9326
,3522.4635,13855.9329
,3522.4733,13855.9314
,3522.4809,13855.9262
,3522.4943,13855.9130
,3522.4969,13855.9171
,3522.4859,13855.9291
,3522.4759,13855.9359
,3522.4696,13855.9375
,3522.4620,13855.9381
,3522.4533,13855.9368
,3522.4454,13855.9320
,3522.4404,13855.9297
,3522.4370,13855.9323
,3522.4347,13855.9345
,3522.4294,13855.9307
,3522.4316,13855.9252
,3522.4305,13855.9203
,3522.4239,13855.9107
,3522.4138,13855.8950
,3522.4059,13855.8853
,3522.3849,13855.8667
,3522.3725,13855.8556
,3522.3627,13855.8437
,3522.3500,13855.8269
,3522.3218,13855.7919
