FSW Aパドック-グランドスタンド,00f0f0f0
,3522.5183,13855.8912
,3522.5233,13855.8860
,3522.5244,13855.8831
,3522.5245,13855.8801
,3522.5240,13855.8773
,3522.5000,13855.8408
,3522.4868,13855.8207
,3522.4787,13855.8081
,3522.4765,13855.8045
,3522.4760,13855.8018
,3522.4753,13855.7983
,3522.4753,13855.7952
,3522.4761,13855.7922
,3522.4773,13855.7895
,3522.4788,13855.7869
,3522.4808,13855.7850
,3522.4854,13855.7806
,3522.4878,13855.7843
,3522.4816,13855.7894
,3522.4801,13855.7914
,3522.4791,13855.7941
,3522.4787,13855.7970
,3522.4790,13855.8010
,3522.4804,13855.8035
,3522.5008,13855.8348
,3522.5234,13855.8690
,3522.5265,13855.8735
,3522.5276,13855.8771
,3522.5279,13855.8801
,3522.5278,13855.8826
,3522.5271,13855.8859
,3522.5258,13855.8885
,3522.5250,13855.8898
,3522.5211,13855.8933
