FSW Cパドック-Aパドック,00f0f0f0
,3522.1758,13855.4174
,3522.1574,13855.4338
,3522.1447,13855.4455
,3522.1499,13855.4532
,3522.1731,13855.4884
,3522.2029,13855.5339
,3522.2136,13855.5504
,3522.2218,13855.5613
,3522.2445,13855.5871
,3522.2515,13855.5950
,3522.2585,13855.6029
,3522.2670,13855.6163
,3522.2859,13855.6446
,3522.2880,13855.6414
,3522.2793,13855.6278
,3522.2634,13855.6038
,3522.2597,13855.5984
,3522.2276,13855.5615
,3522.2184,13855.5507
,3522.1933,13855.5121
,3522.1768,13855.4869
,3522.1604,13855.4616
,3522.1574,13855.4569
,3522.1563,13855.4527
,3522.1563,13855.4482
,3522.1571,13855.4437
,3522.1587,13855.4403
,3522.1611,13855.4371
,3522.1779,13855.4209
