FSW Aパドック-Cパドック,00f0f0f0
,3522.3624,13855.8424
,3522.3591,13855.8440
,3522.3386,13855.8278
,3522.3159,13855.8073
,3522.2992,13855.7930
,3522.2957,13855.7898
,3522.2888,13855.7872
,3522.2760,13855.8010
,3522.2580,13855.8249
,3522.2534,13855.8283
,3522.2516,13855.8287
,3522.2477,13855.8273
,3522.2446,13855.8249
,3522.2419,13855.8214
,3522.2395,13855.8175
,3522.2358,13855.8078
,3522.2331,13855.8012
,3522.2310,13855.7974
,3522.2285,13855.7946
,3522.2253,13855.7928
,3522.2181,13855.7902
,3522.2151,13855.7880
,3522.2130,13855.7853
,3522.2114,13855.7822
,3522.2090,13855.7742
,3522.2072,13855.7675
,3522.2070,13855.7634
,3522.2076,13855.7597
,3522.2111,13855.7554
,3522.2131,13855.7538
,3522.2214,13855.7485
,3522.2260,13855.7447
,3522.2535,13855.7228
,3522.2882,13855.6964
,3522.2900,13855.6948
,3522.2930,13855.6862
,3522.2938,13855.6806
,3522.2938,13855.6767
,3522.2930,13855.6718
,3522.2919,13855.6683
,3522.2880,13855.6617
,3522.2777,13855.6437
,3522.2703,13855.6321
,3522.2652,13855.6237
,3522.2622,13855.6171
,3522.2609,13855.6117
,3522.2633,13855.6087
,3522.2651,13855.6113
,3522.2634,13855.6132
,3522.2636,13855.6158
,3522.2654,13855.6200
,3522.2671,13855.6230
,3522.2730,13855.6321
,3522.2829,13855.6466
,3522.2900,13855.6609
,3522.2935,13855.6678
,3522.2950,13855.6737
,3522.2954,13855.6798
,3522.2949,13855.6846
,3522.2938,13855.6896
,3522.2921,13855.6938
,3522.2900,13855.6968
,3522.2885,13855.6980
,3522.2795,13855.7046
,3522.2443,13855.7325
,3522.2299,13855.7439
,3522.2241,13855.7500
,3522.2142,13855.7563
,3522.2111,13855.7591
,3522.2093,13855.7620
,3522.2091,13855.7653
,3522.2092,13855.7680
,3522.2134,13855.7812
,3522.2156,13855.7852
,3522.2182,13855.7872
,3522.2262,13855.7903
,3522.2294,13855.7917
,3522.2339,13855.7975
,3522.2376,13855.8069
,3522.2412,13855.8154
,3522.2450,13855.8220
,3522.2484,13855.8244
,3522.2508,13855.8256
,3522.2531,13855.8256
,3522.2559,13855.8234
,3522.2631,13855.8148
,3522.2756,13855.7981
,3522.2864,13855.7853
,3522.2883,13855.7844
,3522.2909,13855.7844
,3522.2969,13855.7868
,3522.3099,13855.7986
,3522.3207,13855.8080
,3522.3338,13855.8190
,3522.3529,13855.8360
,3522.3553,13855.8380
,3522.3567,13855.8384
,3522.3584,13855.8365
