FSW Cパドック- 13コーナー,00f0f0f0
,3522.1515,13855.4374
,3522.1475,13855.4378
,3522.1438,13855.4358
,3522.1387,13855.4273
,3522.1360,13855.4227
,3522.1310,13855.4199
,3522.1265,13855.4200
,3522.1184,13855.4221
,3522.0878,13855.4340
,3522.0815,13855.4343
,3522.0603,13855.4322
,3522.0648,13855.4329
,3522.0185,13855.4266
,3522.0069,13855.4188
,3521.9915,13855.3891
,3521.9791,13855.3630
,3521.9693,13855.3404
,3521.9594,13855.3305
,3521.9573,13855.3341
,3521.9662,13855.3416
,3521.9801,13855.3729
,3522.0016,13855.4169
,3522.0085,13855.4253
,3522.0185,13855.4305
,3522.0734,13855.4381
,3522.0816,13855.4383
,3522.0844,13855.4379
,3522.0894,13855.4377
,3522.1127,13855.4289
,3522.1261,13855.4239
,3522.1306,13855.4239
,3522.1338,13855.4257
,3522.1515,13855.4539
