都道13号 代々木公園ー北参道,00daa520
,3540.0767,13941.4971
,3540.1151,13941.4675
,3540.1461,13941.4509
,3540.1700,13941.4442
,3540.1940,13941.4429
,3540.2189,13941.4461
,3540.3482,13941.4704
,3540.3570,13941.4694
,3540.4044,13941.4792
,3540.4253,13941.4835
,3540.4410,13941.4858
,3540.4709,13941.4959
,3540.5232,13941.5320
,3540.5721,13941.5518
,3540.6252,13941.5728
,3540.6610,13941.5873
,3540.7025,13941.6231
,3540.7165,13941.6332
,3540.7557,13941.6509
,3540.7430,13941.6594
,3540.7118,13941.6512
,3540.6341,13941.6229
,3540.5945,13941.5903
,3540.5817,13941.5807
,3540.5161,13941.5394
,3540.4673,13941.5071
,3540.4509,13941.4999
,3540.1956,13941.4543
,3540.1594,13941.4577
,3540.1314,13941.4697
,3540.0801,13941.5102
