都道13号 参宮橋ー成子坂下,00daa520
,3541.4678,13941.2284
,3541.5178,13941.2142
,3541.5550,13941.2131
,3541.6313,13941.2214
,3541.6536,13941.2308
,3541.7454,13941.2915
,3541.7421,13941.3073
,3541.6369,13941.2366
,3541.5469,13941.2253
,3541.5189,13941.2284
,3541.4784,13941.2392
,3541.4555,13941.2480
,3541.3578,13941.3211
,3541.3404,13941.3315
,3541.3233,13941.3387
,3541.1921,13941.3660
,3541.1603,13941.3743
,3541.1366,13941.3847
,3541.1070,13941.4070
,3541.0906,13941.4210
,3541.0237,13941.4902
,3540.9758,13941.5173
,3540.8776,13941.5819
,3540.8047,13941.6335
,3540.7477,13941.6718
,3540.7040,13941.7031
,3540.7033,13941.7079
