都道302号 曙橋-浅草橋,00daa520
,3541.5515,13943.3475
,3541.5494,13943.4055
,3541.5452,13943.4434
,3541.5389,13943.5541
,3541.4919,13943.6513
,3541.4840,13943.6797
,3541.4709,13943.8226
,3541.4741,13943.8799
,3541.5164,13944.0640
,3541.5415,13944.1123
,3541.4726,13944.1592
,3541.5918,13944.5719
,3541.6421,13944.7112
,3541.7170,13944.9577
,3541.7335,13945.0869
,3541.7493,13945.1801
,3541.7568,13945.2365
,3541.7605,13945.3241
,3541.7658,13945.6435
,3541.6818,13945.7543
,3541.6721,13945.7774
,3541.6676,13945.8392
,3541.6833,13945.9251
,3541.7575,13946.1152
,3541.7410,13946.5030
,3541.7320,13946.7715
,3541.7260,13946.7928
,3541.7140,13946.9590
,3541.7006,13947.0632
,3541.6916,13947.0568
,3541.7051,13946.9599
,3541.7178,13946.7937
,3541.7148,13946.7679
,3541.7260,13946.5030
,3541.7418,13946.1171
,3541.6736,13945.9435
,3541.6526,13945.8411
,3541.6578,13945.7728
,3541.6683,13945.7497
,3541.7520,13945.6321
,3541.7496,13945.4768
,3541.7457,13945.3296
,3541.7417,13945.2374
,3541.7234,13945.1054
,3541.7240,13945.0852
,3541.6985,13944.9529
,3541.6316,13944.7169
,3541.6132,13944.6732
,3541.5118,13944.3499
,3541.4534,13944.1565
,3541.5207,13944.1100
,3541.4916,13944.0254
,3541.4687,13943.9304
,3541.4597,13943.8746
,3541.4548,13943.8409
,3541.4718,13943.6507
,3541.5207,13943.5540
,3541.5243,13943.5187
,3541.5351,13943.4302
,3541.5392,13943.3451
