都道302号 百人町-抜け弁天,00daa520
,3541.8827,13941.8510
,3541.8867,13941.8810
,3541.8873,13942.0494
,3541.8951,13942.1599
,3541.9022,13942.2331
,3541.8987,13942.3018
,3541.8814,13942.4519
,3541.8660,13942.6121
,3541.8672,13942.7512
,3541.8701,13942.7991
,3541.8587,13942.7964
,3541.8583,13942.7574
,3541.8557,13942.7116
,3541.8565,13942.6069
,3541.8560,13942.5504
,3541.8662,13942.4636
,3541.8830,13942.3336
,3541.8897,13942.2739
,3541.8805,13942.1527
,3541.8774,13942.1125
,3541.8749,13941.8642
,3541.8754,13941.8546
