都道305号 渋谷橋-宮益坂下,00daa520
,3538.9381,13942.6645
,3539.0303,13942.5649
,3539.0790,13942.5316
,3539.1568,13942.5264
,3539.1906,13942.5148
,3539.2124,13942.4987
,3539.2340,13942.4720
,3539.2532,13942.4457
,3539.2713,13942.4249
,3539.2993,13942.3989
,3539.3177,13942.3817
,3539.3355,13942.3595
,3539.3639,13942.3238
,3539.3949,13942.2751
,3539.4167,13942.2461
,3539.4488,13942.2100
,3539.4626,13942.1901
,3539.4938,13942.1616
,3539.5342,13942.1417
,3539.5923,13942.1309
,3539.5917,13942.1517
,3539.5514,13942.1668
,3539.5122,13942.1859
,3539.4670,13942.2164
,3539.3972,13942.3093
,3539.3539,13942.3664
,3539.3080,13942.4121
,3539.2721,13942.4484
,3539.2598,13942.4621
,3539.2446,13942.4858
,3539.2218,13942.5124
,3539.1908,13942.5351
,3539.1768,13942.5401
,3539.1569,13942.5440
,3539.1075,13942.5473
,3539.0745,13942.5548
,3539.0386,13942.5800
,3539.0111,13942.6077
,3538.9536,13942.6721
