都道305号 宮益坂下-新宿５丁目,00daa520
,3539.5923,13942.1309
,3539.7246,13942.1225
,3539.8010,13942.1186
,3539.8295,13942.1180
,3539.8724,13942.1402
,3539.9234,13942.1785
,3540.0301,13942.2628
,3540.1266,13942.3276
,3540.2118,13942.3977
,3540.2544,13942.4270
,3540.3114,13942.4730
,3540.3457,13942.4830
,3540.3520,13942.4824
,3540.4385,13942.4415
,3540.4479,13942.4363
,3540.4806,13942.4116
,3540.5319,13942.3961
,3540.6218,13942.3678
,3540.6474,13942.3616
,3540.6576,13942.3571
,3540.7721,13942.2722
,3540.7810,13942.2689
,3540.7988,13942.2667
,3540.8375,13942.2651
,3540.9891,13942.2677
,3541.0113,13942.2628
,3541.0209,13942.2572
,3541.0699,13942.2233
,3541.1534,13942.1972
,3541.2175,13942.1782
,3541.2713,13942.1651
,3541.2773,13942.1660
,3541.3667,13942.2268
,3541.4004,13942.2498
,3541.4674,13942.2942
,3541.5603,13942.3491
,3541.6284,13942.3879
,3541.6250,13942.4008
,3541.6117,13942.3925
,3541.5317,13942.3470
,3541.4594,13942.3056
,3541.3660,13942.2413
,3541.2753,13942.1799
,3541.2689,13942.1776
,3541.2638,13942.1762
,3541.0766,13942.2355
,3541.0209,13942.2742
,3541.0004,13942.2806
,3540.7991,13942.2792
,3540.7859,13942.2814
,3540.7715,13942.2878
,3540.6587,13942.3723
,3540.5000,13942.4152
,3540.4581,13942.4431
,3540.4136,13942.4668
,3540.3476,13942.4950
,3540.3332,13942.4990
,3540.3090,13942.4870
,3540.2475,13942.4339
,3540.2023,13942.4055
,3540.1220,13942.3417
,3539.9787,13942.2377
,3539.9157,13942.1861
,3539.8880,13942.1666
,3539.8488,13942.1455
,3539.8179,13942.1372
,3539.7002,13942.1440
,3539.5901,13942.1505
