都道305号 新宿-池袋,00daa520
,3541.6284,13942.3879
,3541.7456,13942.4123
,3541.8893,13942.4400
,3542.0765,13942.4767
,3542.2071,13942.5005
,3542.5155,13942.5404
,3542.7644,13942.6164
,3542.8521,13942.6672
,3543.1271,13942.7966
,3543.1521,13942.7992
,3543.4746,13942.6705
,3543.4893,13942.6691
,3543.6486,13942.7110
,3543.7861,13942.7245
,3543.8822,13942.7612
,3544.0007,13942.9763
,3543.9903,13942.9841
,3543.8819,13942.7833
,3543.7778,13942.7364
,3543.7644,13942.7322
,3543.6497,13942.7237
,3543.6115,13942.7118
,3543.5049,13942.6850
,3543.4806,13942.6831
,3543.3894,13942.7192
,3543.2224,13942.7900
,3543.1529,13942.8161
,3543.1383,13942.8154
,3543.1263,13942.8141
,3542.8751,13942.6954
,3542.8184,13942.6661
,3542.7651,13942.6319
,3542.5801,13942.5766
,3542.4996,13942.5524
,3542.2899,13942.5260
,3542.2040,13942.5148
,3542.1164,13942.4993
,3541.9800,13942.4803
,3541.8603,13942.4566
,3541.7048,13942.4266
,3541.6574,13942.4179
,3541.6250,13942.4011
