環八通り R357区間 羽田空港周辺,00dc143c
,3532.5272,13947.5422
,3532.5006,13947.4790
,3532.4958,13947.4814
,3532.4948,13947.4759
,3532.4814,13947.4462
,3532.4561,13947.3899
,3532.4347,13947.3438
,3532.4300,13947.3312
,3532.4109,13947.2872
,3532.4001,13947.2576
,3532.3898,13947.2111
,3532.3844,13947.1652
,3532.3842,13947.1215
,3532.3852,13947.0800
,3532.3844,13947.0502
,3532.3796,13947.0098
,3532.3700,13946.9720
,3532.3587,13946.9456
,3532.3329,13946.8985
,3532.2759,13946.7976
,3532.2702,13946.7838
,3532.2621,13946.7610
,3532.2591,13946.7485
,3532.2569,13946.7268
,3532.2564,13946.7141
,3532.2569,13946.7070
,3532.2693,13946.7086
,3532.2693,13946.7221
,3532.2704,13946.7334
,3532.2741,13946.7566
,3532.2809,13946.7767
,3532.2863,13946.7898
,3532.3088,13946.8321
,3532.3418,13946.8906
,3532.3669,13946.9360
,3532.3782,13946.9626
,3532.3873,13946.9924
,3532.3919,13947.0170
,3532.3947,13947.0482
,3532.3941,13947.1620
,3532.3997,13947.2106
,3532.4097,13947.2536
,3532.4187,13947.2779
,3532.4403,13947.3239
,3532.4493,13947.3380
,3532.4764,13947.3952
,3532.4945,13947.4288
,3532.5020,13947.4462
,3532.4972,13947.4495
,3532.5185,13947.4946
,3532.5371,13947.5349
