環八 空港-天空橋,00daa520
,3532.2569,13946.7070
,3532.2596,13946.6864
,3532.4382,13946.2789
,3532.4559,13946.2364
,3532.4733,13946.1779
,3532.4931,13946.1212
,3532.5340,13946.0350
,3532.5549,13946.0041
,3532.5654,13945.9925
,3532.6372,13945.9326
,3532.6587,13945.9075
,3532.6660,13945.8959
,3532.6901,13945.8464
,3532.7069,13945.7910
,3532.7394,13945.5664
,3532.7546,13945.5265
,3532.7907,13945.4807
,3532.8111,13945.4614
,3532.9467,13945.3597
,3532.9709,13945.3327
,3532.9902,13945.2928
,3533.0084,13945.3006
,3532.9890,13945.3358
,3532.9712,13945.3606
,3532.9532,13945.3793
,3532.8987,13945.4215
,3532.8332,13945.4691
,3532.8052,13945.4971
,3532.7853,13945.5254
,3532.7688,13945.5602
,3532.7565,13945.5979
,3532.7460,13945.6432
,3532.7274,13945.7656
,3532.7238,13945.7968
,3532.7154,13945.8515
,3532.7025,13945.8869
,3532.6877,13945.9127
,3532.6667,13945.9355
,3532.6353,13945.9619
,3532.5863,13946.0047
,3532.5698,13946.0179
,3532.5499,13946.0334
,3532.5334,13946.0591
,3532.5009,13946.1299
,3532.4876,13946.1683
,3532.4784,13946.1995
,3532.4778,13946.2123
,3532.4483,13946.2841
,3532.2860,13946.6438
,3532.2739,13946.6789
,3532.2689,13946.7082
