環八 等々力-南田中,00daa520
,3536.2985,13938.8318
,3536.3355,13938.6982
,3536.3406,13938.6876
,3536.4052,13938.4508
,3536.4308,13938.4208
,3536.5102,13938.3817
,3537.0776,13938.1171
,3537.1111,13938.0991
,3537.1436,13938.0656
,3537.2660,13937.8590
,3537.3743,13937.6846
,3537.4303,13937.6434
,3537.6101,13937.5841
,3537.7425,13937.5441
,3537.8890,13937.4946
,3537.9173,13937.4811
,3537.9591,13937.4559
,3538.2976,13937.2010
,3538.3149,13937.1901
,3538.7203,13937.0768
,3539.1887,13936.9563
,3539.6992,13936.8520
,3540.1121,13936.7902
,3540.4199,13936.8037
,3540.6624,13936.8560
,3540.8292,13936.8695
,3541.0060,13936.9313
,3541.0991,13936.9268
,3541.5003,13936.9883
,3541.5772,13937.0051
,3541.7665,13937.0593
,3541.9291,13937.0361
,3541.9991,13937.0245
,3542.3494,13936.9299
,3542.4832,13936.8932
,3542.9050,13936.8571
,3543.1475,13936.8346
,3543.4966,13936.8578
,3544.0068,13936.8659
,3544.0419,13936.8936
,3544.0288,13936.9110
,3544.0048,13936.8936
,3543.9170,13936.8846
,3543.7842,13936.8827
,3543.3500,13936.8627
,3543.1554,13936.8563
,3542.4901,13936.9148
,3541.9913,13937.0418
,3541.7895,13937.0774
,3541.7756,13937.0780
,3541.7135,13937.0627
,3541.5654,13937.0182
,3541.5173,13937.0117
,3541.4802,13937.0064
,3541.1897,13936.9621
,3541.0768,13936.9434
,3541.0041,13936.9485
,3540.8232,13936.8854
,3540.6548,13936.8687
,3540.6088,13936.8590
,3540.4493,13936.8262
,3540.2223,13936.8127
,3540.1183,13936.8056
,3539.6921,13936.8725
,3539.4191,13936.9221
,3539.3291,13936.9382
,3538.9165,13937.0434
,3538.4118,13937.1803
,3538.3155,13937.2098
,3538.1370,13937.3458
,3537.9236,13937.5007
,3537.4502,13937.6528
,3537.3906,13937.6914
,3537.3686,13937.7197
,3537.1542,13938.0727
,3537.1186,13938.1126
,3536.5962,13938.3601
,3536.4560,13938.4283
,3536.4298,13938.4567
,3536.4120,13938.4837
,3536.3139,13938.8374
