環八 南田中-赤羽,00daa520
,3544.0419,13936.8936
,3544.1459,13937.0101
,3544.2206,13937.0948
,3544.2608,13937.1418
,3544.3549,13937.2472
,3544.4620,13937.3730
,3544.4892,13937.4127
,3544.5329,13937.4783
,3544.5787,13937.5409
,3544.6783,13937.6977
,3544.8462,13937.9573
,3544.8915,13938.0391
,3544.9926,13938.2324
,3545.0022,13938.2405
,3545.0384,13938.3142
,3545.0932,13938.4196
,3545.1606,13938.5410
,3545.2848,13938.7690
,3545.3079,13938.8205
,3545.4206,13939.0293
,3545.4975,13939.1792
,3545.6307,13939.4383
,3545.7609,13939.7097
,3545.8319,13939.8472
,3545.8806,13939.9253
,3545.8932,13939.9346
,3545.9535,13940.0189
,3546.0431,13940.0895
,3546.1622,13940.1725
,3546.3035,13940.2897
,3546.3552,13940.3461
,3546.4281,13940.4235
,3546.5418,13940.5574
,3546.6026,13940.6384
,3546.6701,13940.8977
,3546.7222,13941.0973
,3546.7736,13941.2983
,3546.8195,13941.4739
,3546.8646,13941.7944
,3546.8837,13941.9051
,3546.9296,13942.0291
,3546.9487,13942.0766
,3547.0195,13942.1710
,3547.0584,13942.2256
,3547.1130,13942.3460
,3547.1304,13942.4226
,3547.2004,13942.8340
,3547.1925,13943.0014
,3547.1772,13943.0478
,3547.0977,13943.1269
,3547.0563,13943.1687
,3547.0410,13943.1988
,3547.0331,13943.2279
,3547.0182,13943.2202
,3547.0257,13943.1994
,3547.0455,13943.1560
,3547.0671,13943.1356
,3547.1507,13943.0615
,3547.1677,13943.0416
,3547.1810,13942.9957
,3547.1888,13942.8324
,3547.1416,13942.5691
,3547.1035,13942.3629
,3547.0982,13942.3476
,3547.0476,13942.2312
,3546.9359,13942.0843
,3546.9011,13941.9980
,3546.8684,13941.9082
,3546.8265,13941.6239
,3546.8204,13941.6091
,3546.8038,13941.4820
,3546.7884,13941.4136
,3546.7611,13941.3126
,3546.7614,13941.3017
,3546.6326,13940.8115
,3546.6285,13940.8017
,3546.5905,13940.6578
,3546.5726,13940.6260
,3546.5004,13940.5345
,3546.4725,13940.4985
,3546.3491,13940.3623
,3546.2974,13940.3063
,3546.0385,13940.1059
,3545.9164,13940.0144
,3545.8454,13939.9095
,3545.8022,13939.8337
,3545.6259,13939.4634
,3545.4859,13939.1864
,3545.3867,13938.9988
,3545.3001,13938.8330
,3545.2251,13938.7021
,3545.1372,13938.5376
,3544.9813,13938.2441
,3544.8443,13937.9966
,3544.6941,13937.7598
,3544.5860,13937.5915
,3544.5400,13937.5229
,3544.5234,13937.4901
,3544.4616,13937.3945
,3544.4384,13937.3644
,3544.3254,13937.2370
,3544.2050,13937.0973
,3544.1381,13937.0294
,3544.1087,13937.0013
,3544.0224,13936.9026
,3544.0036,13936.8929
