都道312号 目黒通り（清正公園ー目黒大鳥神社）,00daa520
,3538.4165,13943.9509
,3538.3980,13943.8160
,3538.3428,13943.7170
,3538.3053,13943.6465
,3538.2149,13943.4517
,3538.2066,13943.4229
,3538.1833,13943.3698
,3538.0857,13943.1920
,3538.0483,13943.1080
,3538.0214,13943.0297
,3538.0179,13942.9671
,3538.0196,13942.9221
,3538.0271,13942.8809
,3538.0561,13942.8034
,3538.0634,13942.7610
,3538.0646,13942.7390
,3538.0601,13942.7233
,3538.0240,13942.6534
,3538.0131,13942.6359
,3537.9861,13942.5603
,3537.9641,13942.5190
,3537.9372,13942.4693
,3537.9473,13942.4613
,3537.9627,13942.4864
,3537.9741,13942.5115
,3537.9944,13942.5556
,3538.0217,13942.6308
,3538.0416,13942.6579
,3538.0709,13942.7225
,3538.0667,13942.7984
,3538.0624,13942.8168
,3538.0364,13942.8802
,3538.0314,13942.9103
,3538.0283,13942.9325
,3538.0301,13942.9669
,3538.0333,13943.0045
,3538.0403,13943.0385
,3538.0841,13943.1518
,3538.1201,13943.2292
,3538.1270,13943.2270
,3538.1688,13943.3114
,3538.1974,13943.3747
,3538.2271,13943.4453
,3538.3059,13943.6170
,3538.3525,13943.7020
,3538.3922,13943.7715
,3538.4100,13943.8104
,3538.4165,13943.8337
,3538.4313,13943.9577
