山手通り 天王洲-北品川（R357区間）,00dc143c
,3537.2243,13944.7890
,3537.2137,13944.7628
,3537.0808,13944.6446
,3537.0402,13944.5834
,3537.0243,13944.5590
,3537.0122,13944.5269
,3537.0093,13944.5114
,3537.0065,13944.4807
,3537.0067,13944.4522
,3537.0183,13944.4510
,3537.0194,13944.4762
,3537.0218,13944.4972
,3537.0236,13944.5108
,3537.0271,13944.5280
,3537.0348,13944.5470
,3537.0477,13944.5697
,3537.0669,13944.6026
,3537.0913,13944.6338
,3537.1227,13944.6618
,3537.1644,13944.6988
,3537.2078,13944.7384
,3537.2325,13944.7600
,3537.2395,13944.7805
