山手通り 中目黒-中野坂上,00daa520
,3538.6640,13941.9253
,3538.7319,13941.8464
,3538.8062,13941.7248
,3538.8657,13941.6308
,3538.9466,13941.4836
,3538.9811,13941.4415
,3539.0354,13941.3854
,3539.0497,13941.3746
,3539.0684,13941.3719
,3539.2122,13941.3652
,3539.2304,13941.3672
,3539.2551,13941.3719
,3539.3243,13941.4071
,3539.3682,13941.4226
,3539.4214,13941.4476
,3539.4379,13941.4496
,3539.4661,13941.4443
,3539.4756,13941.4373
,3539.5669,13941.3628
,3539.6837,13941.2702
,3539.7052,13941.2537
,3539.7255,13941.2453
,3539.7442,13941.2432
,3539.7855,13941.2495
,3539.9736,13941.2634
,3540.0744,13941.2648
,3540.1797,13941.2613
,3540.3021,13941.2515
,3540.4334,13941.2550
,3540.5382,13941.2585
,3540.6379,13941.2655
,3540.7432,13941.3025
,3540.8463,13941.3178
,3540.8757,13941.3199
,3540.9052,13941.3115
,3540.9233,13941.2969
,3540.9601,13941.2627
,3541.0581,13941.1721
,3541.1922,13941.0668
,3541.3032,13940.9531
,3541.3412,13940.9183
,3541.3718,13940.8974
,3541.4103,13940.8911
,3541.4640,13940.8925
,3541.4918,13940.8988
,3541.7007,13940.9378
,3541.8258,13940.9615
,3541.8230,13940.9831
,3541.7540,13940.9720
,3541.5977,13940.9406
,3541.4675,13940.9155
,3541.4182,13940.9099
,3541.3820,13940.9141
,3541.3406,13940.9420
,3541.2761,13941.0047
,3541.1849,13941.0975
,3541.0671,13941.1909
,3540.9425,13941.3080
,3540.9080,13941.3324
,3540.8769,13941.3387
,3540.8639,13941.3394
,3540.7817,13941.3275
,3540.7568,13941.3262
,3540.6554,13941.2906
,3540.6231,13941.2836
,3540.4839,13941.2767
,3540.3638,13941.2696
,3540.2975,13941.2683
,3540.1995,13941.2780
,3540.0098,13941.2850
,3539.8002,13941.2759
,3539.7464,13941.2683
,3539.7266,13941.2690
,3539.7119,13941.2732
,3539.6553,13941.3171
,3539.5743,13941.3784
,3539.4723,13941.4614
,3539.4413,13941.4696
,3539.4143,13941.4624
,3539.4080,13941.4643
,3539.3218,13941.4214
,3539.2568,13941.3902
,3539.2367,13941.3843
,3539.2170,13941.3839
,3539.0922,13941.3912
,3539.0681,13941.3922
,3539.0423,13941.4048
,3539.0238,13941.4246
,3538.9693,13941.4858
,3538.9383,13941.5339
,3538.8649,13941.6444
,3538.7469,13941.8437
,3538.7349,13941.8656
,3538.6716,13941.9428
