山手通り 中野坂上-板橋仲宿,00daa520
,3541.8258,13940.9615
,3542.0286,13940.9731
,3542.1405,13940.9299
,3542.3726,13940.9515
,3542.5300,13941.0251
,3542.6484,13941.0780
,3542.9306,13941.2125
,3543.0593,13941.2734
,3543.0833,13941.2918
,3543.1523,13941.3527
,3543.3473,13941.5377
,3543.4474,13941.6346
,3543.4676,13941.6546
,3543.6743,13941.7899
,3543.7367,13941.8276
,3543.9584,13941.9333
,3544.0878,13942.0021
,3544.0982,13942.0094
,3544.1280,13942.0382
,3544.3094,13942.2408
,3544.3764,13942.3097
,3544.5519,13942.4570
,3544.5818,13942.4730
,3544.6370,13942.4818
,3544.8346,13942.4842
,3544.9867,13942.4923
,3545.1537,13942.5026
,3545.1587,13942.5245
,3545.1105,13942.5242
,3544.9833,13942.5157
,3544.8555,13942.5108
,3544.7368,13942.5083
,3544.6280,13942.5058
,3544.5789,13942.4929
,3544.5333,13942.4731
,3544.4962,13942.4429
,3544.4095,13942.3681
,3544.3463,13942.3157
,3544.2927,13942.2589
,3544.1644,13942.1113
,3544.1063,13942.0464
,3544.0812,13942.0254
,3543.9990,13941.9816
,3543.8356,13941.9050
,3543.7348,13941.8531
,3543.7067,13941.8371
,3543.5824,13941.7574
,3543.4581,13941.6747
,3543.3608,13941.5815
,3543.1488,13941.3764
,3543.0801,13941.3122
,3543.0395,13941.2851
,3542.9653,13941.2486
,3542.8209,13941.1825
,3542.6414,13941.0985
,3542.5070,13941.0386
,3542.3887,13940.9855
,3542.3520,13940.9732
,3542.1665,13940.9497
,3542.1480,13940.9510
,3542.1380,13940.9540
,3542.0607,13940.9855
,3542.0161,13940.9973
,3541.9274,13940.9923
,3541.8496,13940.9880
,3541.8232,13940.9894
