旧山手通り,00daa520
,3538.8010,13942.1288
,3538.8079,13942.1308
,3538.8408,13942.1073
,3538.8991,13942.0133
,3538.9169,13941.9656
,3538.9244,13941.9491
,3538.9695,13941.8892
,3539.0199,13941.8315
,3539.1099,13941.7280
,3539.1997,13941.6289
,3539.2496,13941.5810
,3539.2960,13941.5459
,3539.3514,13941.5048
,3539.4090,13941.4747
,3539.4666,13941.4443
,3539.4708,13941.4632
,3539.4398,13941.4738
,3539.4248,13941.4798
,3539.3591,13941.5133
,3539.2875,13941.5677
,3539.2291,13941.6146
,3539.1491,13941.7039
,3539.0513,13941.8134
,3538.9682,13941.9061
,3538.9391,13941.9461
,3538.9329,13941.9562
,3538.9214,13941.9808
,3538.9104,13942.0126
,3538.8991,13942.0340
,3538.8577,13942.1014
,3538.8536,13942.1168
,3538.8057,13942.1531
,3538.8037,13942.1632
