環七通り 大森-大原,00daa520
,3534.6471,13944.1174
,3534.6938,13943.9327
,3534.7107,13943.8490
,3534.7209,13943.7949
,3534.7783,13943.5812
,3534.8296,13943.3855
,3534.8330,13943.3639
,3534.8829,13943.2877
,3534.9125,13943.2507
,3534.9408,13943.2285
,3534.9677,13943.2166
,3534.9947,13943.2118
,3535.1167,13943.1867
,3535.2580,13943.1571
,3535.3847,13943.1304
,3535.4491,13943.1178
,3535.4645,13943.1127
,3535.4954,13943.0940
,3535.5182,13943.0695
,3535.5318,13943.0492
,3535.6294,13942.8728
,3535.6833,13942.7750
,3535.7640,13942.6328
,3535.8132,13942.5459
,3535.9644,13942.2073
,3536.0262,13942.0715
,3536.0315,13942.0651
,3536.1754,13941.8777
,3536.2288,13941.8333
,3536.3340,13941.7599
,3536.3805,13941.7309
,3536.4892,13941.6527
,3536.5175,13941.6207
,3536.5554,13941.5624
,3536.7255,13941.3037
,3536.8019,13941.1820
,3536.9453,13940.9940
,3537.2069,13940.8298
,3537.3278,13940.7796
,3537.4314,13940.7357
,3537.4826,13940.7097
,3537.5234,13940.6845
,3537.5945,13940.6343
,3537.6411,13940.5899
,3537.7059,13940.4785
,3537.7530,13940.3813
,3537.7823,13940.3324
,3537.8069,13940.2976
,3537.8734,13940.2198
,3537.8980,13940.1882
,3537.9608,13940.0904
,3537.9733,13940.0762
,3538.0403,13939.9796
,3538.0455,13939.9694
,3538.2035,13939.7711
,3538.2668,13939.7389
,3538.3725,13939.6810
,3538.4034,13939.6706
,3538.5342,13939.6423
,3538.6833,13939.6333
,3538.8857,13939.6250
,3539.1263,13939.6088
,3539.3192,13939.5928
,3539.4247,13939.5900
,3539.5879,13939.5932
,3539.7866,13939.6170
,3540.0581,13939.6627
,3540.1888,13939.6840
,3540.2082,13939.6865
,3540.2317,13939.6846
,3540.2490,13939.6820
,3540.4095,13939.6003
,3540.4131,13939.6145
,3540.3185,13939.6634
,3540.2589,13939.6936
,3540.2333,13939.7014
,3540.1946,13939.7026
,3540.1647,13939.6981
,3539.7955,13939.6331
,3539.5340,13939.6054
,3539.3551,13939.6028
,3538.9655,13939.6382
,3538.7902,13939.6453
,3538.5689,13939.6589
,3538.5459,13939.6601
,3538.3989,13939.6943
,3538.3659,13939.7084
,3538.2247,13939.7779
,3538.1080,13939.9170
,3538.0484,13939.9910
,3537.9039,13940.2124
,3537.8898,13940.2305
,3537.8087,13940.3213
,3537.7779,13940.3638
,3537.6581,13940.5999
,3537.6446,13940.6182
,3537.6288,13940.6377
,3537.5271,13940.7032
,3537.4762,13940.7316
,3537.4196,13940.7593
,3537.3476,13940.7900
,3537.3025,13940.8095
,3537.2459,13940.8313
,3537.2244,13940.8415
,3537.1142,13940.9093
,3536.9639,13940.9997
,3536.9452,13941.0150
,3536.8910,13941.0876
,3536.8178,13941.1919
,3536.8023,13941.2130
,3536.6056,13941.5055
,3536.5151,13941.6421
,3536.4989,13941.6588
,3536.3363,13941.7701
,3536.2789,13941.8221
,3536.1759,13941.9047
,3536.1673,13941.9167
,3536.1532,13941.9247
,3536.0372,13942.0747
,3536.0177,13942.1080
,3535.8681,13942.4485
,3535.8210,13942.5532
,3535.8037,13942.5805
,3535.7414,13942.6918
,3535.6509,13942.8537
,3535.5246,13943.0836
,3535.5162,13943.0939
,3535.5003,13943.1187
,3535.4823,13943.1226
,3535.4622,13943.1297
,3535.4466,13943.1343
,3535.2987,13943.1635
,3535.1990,13943.1857
,3534.9742,13943.2334
,3534.9610,13943.2390
,3534.9435,13943.2481
,3534.9300,13943.2582
,3534.9155,13943.2725
,3534.8832,13943.3170
,3534.8579,13943.3548
,3534.8486,13943.3694
,3534.8406,13943.3873
,3534.8346,13943.4057
,3534.7578,13943.7016
,3534.7369,13943.7798
,3534.6695,13944.0878
,3534.6626,13944.1231
