環七通り 大原-板橋本町,00daa520
,3540.4095,13939.6003
,3540.7442,13939.4258
,3540.8765,13939.4136
,3540.8883,13939.4088
,3541.0811,13939.3901
,3541.1204,13939.3805
,3541.2383,13939.3338
,3541.3318,13939.2989
,3541.4334,13939.2798
,3541.6078,13939.2492
,3541.7403,13939.2534
,3541.7849,13939.2575
,3541.8860,13939.2721
,3542.2476,13939.2812
,3542.5742,13939.2430
,3542.8157,13939.2179
,3542.8703,13939.2166
,3543.1084,13939.2145
,3543.1077,13939.2202
,3543.2325,13939.2221
,3543.2483,13939.2169
,3543.4561,13939.2169
,3543.4946,13939.2215
,3543.5714,13939.2241
,3543.6277,13939.2331
,3543.6566,13939.2526
,3543.6929,13939.2908
,3543.7761,13939.3848
,3543.9239,13939.5566
,3544.1097,13939.7608
,3544.3033,13939.9792
,3544.4548,13940.0953
,3544.7405,13940.4848
,3544.9920,13940.8368
,3545.1977,13941.1194
,3545.3197,13941.2821
,3545.3858,13941.3854
,3545.4756,13941.5307
,3545.4866,13941.5534
,3545.5124,13941.6523
,3545.6389,13942.1557
,3545.6580,13942.2365
,3545.6610,13942.2225
,3545.6914,13942.3487
,3545.6736,13942.3563
,3545.6663,13942.3163
,3545.6418,13942.2211
,3545.6416,13942.2109
,3545.5468,13941.8291
,3545.4901,13941.5993
,3545.4801,13941.5678
,3545.4678,13941.5470
,3545.3138,13941.3080
,3545.2485,13941.2180
,3545.2387,13941.1982
,3545.1017,13941.0100
,3544.9014,13940.7349
,3544.7953,13940.5880
,3544.6539,13940.3930
,3544.5020,13940.1817
,3544.4460,13940.1075
,3544.3089,13940.0050
,3544.1829,13939.8706
,3543.9626,13939.6233
,3543.9176,13939.5684
,3543.7032,13939.3237
,3543.6663,13939.2803
,3543.6324,13939.2562
,3543.6073,13939.2463
,3543.4982,13939.2400
,3543.2966,13939.2374
,3543.1060,13939.2338
,3542.8483,13939.2332
,3542.8101,13939.2338
,3542.5991,13939.2589
,3542.4084,13939.2845
,3542.2526,13939.3033
,3542.2259,13939.3033
,3541.9232,13939.2934
,3541.8666,13939.2939
,3541.7423,13939.2719
,3541.6100,13939.2659
,3541.3963,13939.3063
,3541.3423,13939.3165
,3541.1203,13939.3989
,3541.0889,13939.4103
,3540.8882,13939.4296
,3540.7562,13939.4432
,3540.4155,13939.6148
