環七通り 板橋本町ー足立区島根,00daa520
,3545.6914,13942.3487
,3545.6987,13942.3990
,3545.7248,13942.4987
,3545.7708,13942.6500
,3545.8095,13942.7620
,3545.8544,13942.9255
,3545.8580,13942.9571
,3545.8862,13943.0555
,3545.9144,13943.1392
,3545.9291,13943.1701
,3545.9771,13943.2603
,3545.9860,13943.2783
,3545.9933,13943.3098
,3545.9996,13943.4148
,3546.0126,13943.4682
,3546.1098,13943.8100
,3546.1296,13943.8814
,3546.1443,13943.9137
,3546.1787,13944.0424
,3546.1913,13944.0713
,3546.2895,13944.2207
,3546.5187,13944.5600
,3546.6796,13944.7930
,3546.7224,13944.8715
,3546.7281,13944.9398
,3546.7245,13945.0769
,3546.7130,13945.3730
,3546.7031,13945.6376
,3546.7036,13945.9221
,3546.7038,13946.0775
,3546.7017,13946.3383
,3546.6980,13946.3605
,3546.6870,13946.9270
,3546.7002,13947.2451
,3546.7186,13947.8636
,3546.7239,13948.0360
,3546.7319,13948.2027
,3546.7134,13948.2043
,3546.7067,13947.8650
,3546.6801,13947.1007
,3546.6747,13946.8650
,3546.6855,13946.2272
,3546.6891,13945.6354
,3546.7098,13945.0730
,3546.7143,13944.9416
,3546.7103,13944.8878
,3546.7017,13944.8601
,3546.6965,13944.8479
,3546.6746,13944.8105
,3546.4761,13944.5164
,3546.4260,13944.4475
,3546.3450,13944.3303
,3546.1784,13944.0850
,3546.1643,13944.0734
,3546.0844,13943.7690
,3545.9887,13943.4323
,3545.9810,13943.3113
,3545.9709,13943.2782
,3545.9069,13943.1576
,3545.8679,13943.0436
,3545.8430,13942.9425
,3545.8368,13942.9300
,3545.8110,13942.8310
,3545.7605,13942.6672
,3545.7593,13942.6535
,3545.7138,13942.5026
,3545.7047,13942.4838
,3545.6826,13942.4102
,3545.6727,13942.3565
