環七通り 一之江ー葛西臨海公園,00daa520
,3542.1551,13952.8997
,3541.8153,13952.9392
,3541.5293,13952.9720
,3541.3207,13952.9933
,3541.1435,13952.9450
,3540.9542,13952.8845
,3540.6906,13952.7661
,3540.4836,13952.6611
,3540.3471,13952.5807
,3540.0710,13952.4236
,3540.0443,13952.4165
,3539.5689,13952.3843
,3539.2757,13952.3621
,3539.0623,13952.3473
,3538.9373,13952.3376
,3538.8807,13952.3221
,3538.8175,13952.2841
,3538.7348,13952.2005
,3538.6067,13952.0633
,3538.5533,13952.0029
,3538.5634,13951.9773
,3538.5744,13951.9855
,3538.5749,13951.9940
,3538.5962,13952.0174
,3538.6117,13952.0332
,3538.7498,13952.1797
,3538.8198,13952.2543
,3538.8642,13952.2855
,3538.9152,13952.3067
,3538.9524,13952.3131
,3539.0220,13952.3183
,3539.2724,13952.3369
,3539.4306,13952.3486
,3539.6397,13952.3633
,3539.8950,13952.3797
,3540.0524,13952.3894
,3540.0732,13952.3980
,3540.1817,13952.4638
,3540.3609,13952.5726
,3540.4278,13952.6116
,3540.4660,13952.6328
,3540.6590,13952.7313
,3540.8540,13952.8186
,3540.8650,13952.8205
,3540.9977,13952.8792
,3541.1816,13952.9339
,3541.3112,13952.9709
,3541.3298,13952.9732
,3541.5673,13952.9488
,3541.7142,13952.9327
,3541.8128,13952.9195
,3541.9163,13952.9063
,3542.0276,13952.8929
,3542.1390,13952.8800
,3542.1597,13952.8759
