都道319号 芝公園-鶴巻町,00daa520
,3539.2295,13944.9804
,3539.2459,13944.8393
,3539.2508,13944.8185
,3539.2761,13944.7687
,3539.2830,13944.7485
,3539.2854,13944.6946
,3539.3030,13944.5259
,3539.3043,13944.5191
,3539.3265,13944.4266
,3539.3535,13944.3271
,3539.3652,13944.2469
,3539.3728,13944.2075
,3539.4066,13944.0522
,3539.4157,13944.0175
,3539.4432,13943.9756
,3539.4704,13943.9529
,3539.4950,13943.9411
,3539.5896,13943.9127
,3539.6010,13943.9059
,3539.6203,13943.8840
,3539.6334,13943.8570
,3539.6379,13943.8318
,3539.6975,13943.6895
,3539.7284,13943.6419
,3539.7612,13943.6131
,3539.8274,13943.5432
,3539.9072,13943.4744
,3539.9388,13943.4740
,3540.1775,13943.4133
,3540.2043,13943.4106
,3540.2214,13943.4141
,3540.2393,13943.4256
,3540.2552,13943.4456
,3540.2714,13943.4583
,3540.2881,13943.4642
,3540.4549,13943.3874
,3540.4607,13943.3811
,3540.4684,13943.3603
,3540.4790,13943.3381
,3540.4847,13943.3240
,3540.7797,13943.1652
,3540.8375,13943.1451
,3541.0529,13943.1898
,3541.3358,13943.2148
,3541.3490,13943.2215
,3541.3627,13943.2331
,3541.5012,13943.3959
,3541.5907,13943.4424
,3541.6167,13943.4526
,3541.7254,13943.4839
,3541.7560,13943.4998
,3541.8158,13943.5195
,3541.8441,13943.5273
,3541.9597,13943.5582
,3542.0821,13943.5885
,3542.2171,13943.5952
,3542.2349,13943.5977
,3542.2723,13943.6083
,3542.3595,13943.6156
,3542.3738,13943.6164
,3542.4594,13943.6051
,3542.5755,13943.6121
,3542.5718,13943.6333
,3542.4573,13943.6262
,3542.4353,13943.6273
,3542.3759,13943.6347
,3542.2914,13943.6311
,3542.2683,13943.6230
,3542.2211,13943.6080
,3542.0508,13943.6023
,3541.9710,13943.5782
,3541.8462,13943.5479
,3541.7922,13943.5270
,3541.7505,13943.5099
,3541.6047,13943.4685
,3541.5475,13943.4365
,3541.4993,13943.4112
,3541.4070,13943.3089
,3541.3616,13943.2555
,3541.3502,13943.2446
,3541.3429,13943.2387
,3541.3280,13943.2332
,3541.2949,13943.2315
,3541.2526,13943.2277
,3541.0715,13943.2106
,3540.9096,13943.1793
,3540.8682,13943.1724
,3540.8243,13943.1626
,3540.7422,13943.2060
,3540.6555,13943.2522
,3540.5152,13943.3256
,3540.5021,13943.3353
,3540.4878,13943.3523
,3540.4794,13943.3672
,3540.4676,13943.3990
,3540.3395,13943.4628
,3540.2897,13943.4812
,3540.2608,13943.4731
,3540.2401,13943.4527
,3540.2295,13943.4394
,3540.2184,13943.4318
,3540.1997,13943.4278
,3540.1772,13943.4303
,3539.9319,13943.4910
,3539.9166,13943.4898
,3539.7875,13943.6151
,3539.7421,13943.6542
,3539.7044,13943.7110
,3539.6856,13943.7386
,3539.6435,13943.8609
,3539.6327,13943.8888
,3539.6176,13943.9088
,3539.5998,13943.9234
,3539.5727,13943.9337
,3539.4830,13943.9665
,3539.4684,13943.9756
,3539.4480,13943.9962
,3539.4339,13944.0184
,3539.4295,13944.0281
,3539.3814,13944.2488
,3539.3670,13944.3409
,3539.3172,13944.5224
,3539.2973,13944.7443
,3539.2917,13944.7681
,3539.2685,13944.8161
,3539.2600,13944.8497
,3539.2483,13944.9821
