都道4号 新宿-四面道,00daa520
,3541.6051,13941.9803
,3541.6092,13941.9183
,3541.6077,13941.8755
,3541.5906,13941.8405
,3541.5875,13941.8078
,3541.6206,13941.6831
,3541.6973,13941.4444
,3541.7466,13941.2840
,3541.7765,13941.1984
,3541.7808,13941.1183
,3541.7814,13941.1115
,3541.8102,13940.9796
,3541.8149,13940.9608
,3541.8375,13940.7568
,3541.8510,13940.6344
,3541.8546,13940.5500
,3541.8510,13940.4245
,3541.8455,13940.2367
,3541.8384,13940.0131
,3541.8386,13939.7455
,3541.8412,13939.7077
,3541.8435,13939.6918
,3541.8735,13939.4813
,3541.8760,13939.4463
,3541.8747,13939.3010
,3541.8725,13939.0812
,3541.8727,13939.0598
,3541.8660,13938.9556
,3541.8613,13938.8813
,3541.8561,13938.5435
,3541.8645,13938.4328
,3541.8690,13938.4045
,3541.9246,13938.2221
,3542.0562,13937.8922
,3542.0869,13937.8209
,3542.1197,13937.7564
,3542.1573,13937.6935
,3542.1856,13937.6512
,3542.2022,13937.6150
,3542.2069,13937.6007
,3542.2167,13937.5819
,3542.2936,13937.4051
,3542.3052,13937.3718
,3542.3116,13937.2444
,3542.3207,13937.2082
,3542.3297,13937.1781
,3542.3636,13937.1046
,3542.4029,13937.0298
,3542.4279,13936.9877
,3542.4618,13936.9298
,3542.4843,13936.8937
,3542.4973,13936.8916
,3542.4048,13937.0519
,3542.3598,13937.1385
,3542.3444,13937.1707
,3542.3303,13937.2162
,3542.3241,13937.2400
,3542.3225,13937.2494
,3542.3171,13937.3729
,3542.3122,13937.3918
,3542.2992,13937.4248
,3542.2360,13937.5711
,3542.1928,13937.6674
,3542.1693,13937.7017
,3542.1266,13937.7748
,3542.0903,13937.8481
,3542.0463,13937.9546
,3541.9850,13938.1066
,3541.9463,13938.2024
,3541.9245,13938.2615
,3541.8871,13938.3846
,3541.8796,13938.4160
,3541.8777,13938.4298
,3541.8711,13938.5338
,3541.8737,13938.8611
,3541.8798,13938.9781
,3541.8857,13939.0610
,3541.8875,13939.3016
,3541.8890,13939.4475
,3541.8872,13939.4729
,3541.8774,13939.5421
,3541.8667,13939.6204
,3541.8534,13939.7150
,3541.8513,13939.7503
,3541.8516,13939.7857
,3541.8509,13940.0360
,3541.8546,13940.1201
,3541.8594,13940.2924
,3541.8677,13940.5492
,3541.8674,13940.5796
,3541.8641,13940.6298
,3541.8512,13940.7441
,3541.8360,13940.8871
,3541.8292,13940.9503
,3541.8245,13940.9948
,3541.7995,13941.1123
,3541.7940,13941.1904
,3541.7866,13941.2102
,3541.7659,13941.2727
,3541.7134,13941.4454
,3541.6938,13941.5095
,3541.6668,13941.5866
,3541.6541,13941.6245
,3541.6059,13941.7990
,3541.6241,13941.8656
,3541.6281,13941.9331
,3541.6283,13941.9733
