皇居内側 竹橋-千鳥ヶ淵,00daa520
,3541.4321,13945.3748
,3541.4150,13945.3318
,3541.3909,13945.2661
,3541.3788,13945.2442
,3541.3569,13945.1992
,3541.3532,13945.1804
,3541.3527,13945.1644
,3541.3580,13945.1483
,3541.3674,13945.1335
,3541.3761,13945.1135
,3541.3749,13945.0954
,3541.3528,13945.0458
,3541.3464,13945.0322
,3541.3263,13945.0009
,3541.3073,13944.9595
,3541.2930,13944.9218
,3541.2853,13944.8809
,3541.2758,13944.7856
,3541.2840,13944.7152
,3541.2921,13944.7154
,3541.2806,13944.7843
,3541.2883,13944.8592
,3541.2950,13944.9014
,3541.3016,13944.9238
,3541.3295,13944.9896
,3541.3573,13945.0354
,3541.3724,13945.0697
,3541.3827,13945.1011
,3541.3831,13945.1160
,3541.3824,13945.1244
,3541.3796,13945.1314
,3541.3778,13945.1394
,3541.3724,13945.1497
,3541.3691,13945.1714
,3541.3722,13945.1890
,3541.3837,13945.2172
,3541.4041,13945.2571
,3541.4276,13945.3228
,3541.4433,13945.3733
