外堀通り赤坂見附ー新橋,00dab521
,3540.6522,13944.2336
,3540.6083,13944.2471
,3540.5382,13944.2963
,3540.5267,13944.3028
,3540.4305,13944.3433
,3540.4097,13944.3604
,3540.2712,13944.5702
,3540.2608,13944.5942
,3540.2235,13944.8024
,3540.2226,13944.8473
,3540.2348,13944.9049
,3540.2441,13944.9273
,3540.2357,13944.9540
,3540.1920,13945.0814
,3540.1260,13945.2866
,3540.0197,13945.6085
,3540.0092,13945.6459
,3539.9931,13945.6341
,3540.0734,13945.3907
,3540.1747,13945.0776
,3540.2112,13944.9723
,3540.2234,13944.9365
,3540.2144,13944.8964
,3540.2060,13944.8461
,3540.2048,13944.8125
,3540.2075,13944.7896
,3540.2397,13944.5951
,3540.2562,13944.5558
,3540.3240,13944.4551
,3540.3950,13944.3441
,3540.4115,13944.3277
,3540.4347,13944.3132
,3540.4706,13944.2980
,3540.5276,13944.2755
,3540.5949,13944.2232
,3540.6492,13944.2032
,3540.6556,13944.1785
