外堀通り（赤坂見附ー水道橋）,00daa520
,3540.6556,13944.1785
,3540.6906,13944.1510
,3540.7101,13944.0008
,3540.7226,13943.9754
,3540.7353,13943.9611
,3540.7939,13943.9351
,3540.8678,13943.8387
,3540.9446,13943.7984
,3541.0166,13943.7616
,3541.0365,13943.7356
,3541.1128,13943.7470
,3541.2116,13943.7720
,3541.3493,13943.8145
,3541.3859,13943.8367
,3541.4064,13943.8916
,3541.4128,13943.9230
,3541.4256,13943.9484
,3541.4630,13943.9902
,3541.4902,13944.0251
,3541.5180,13944.0683
,3541.5536,13944.1365
,3541.6243,13944.2240
,3541.7356,13944.3191
,3541.7826,13944.3480
,3541.8695,13944.4232
,3542.0250,13944.5525
,3542.1054,13944.6039
,3542.1476,13944.6451
,3542.1734,13944.6832
,3542.1911,13944.7284
,3542.2058,13944.7967
,3542.2038,13944.9385
,3542.1939,13945.0539
,3542.1786,13945.2148
,3542.1588,13945.3010
,3542.1432,13945.3452
,3542.1277,13945.3432
,3542.1615,13945.1998
,3542.1753,13945.0450
,3542.1805,13944.9855
,3542.1863,13944.8014
,3542.1551,13944.6970
,3542.1273,13944.6587
,3542.0286,13944.5713
,3541.7757,13944.3613
,3541.7283,13944.3307
,3541.6169,13944.2369
,3541.5390,13944.1385
,3541.5206,13944.1092
,3541.4884,13944.0467
,3541.4578,13944.0044
,3541.4150,13943.9574
,3541.4073,13943.9468
,3541.4046,13943.9390
,3541.3955,13943.8990
,3541.3790,13943.8498
,3541.2042,13943.7968
,3541.1318,13943.7766
,3541.0487,13943.7658
,3540.8780,13943.8540
,3540.8300,13943.9189
,3540.7985,13943.9510
,3540.7328,13943.9827
,3540.7188,13944.0167
,3540.7059,13944.1792
,3540.6999,13944.1937
,3540.6863,13944.2099
,3540.6656,13944.2254
,3540.6522,13944.2336
