神宮外苑,00daa520
,3540.5049,13943.1745
,3540.4997,13943.1558
,3540.5004,13943.1461
,3540.4994,13943.1374
,3540.4994,13943.1307
,3540.5028,13943.1040
,3540.5104,13943.0863
,3540.5216,13943.0699
,3540.5381,13943.0560
,3540.5613,13943.0438
,3540.5888,13943.0303
,3540.6524,13942.9997
,3540.6973,13942.9781
,3540.7119,13942.9739
,3540.7277,13942.9723
,3540.7460,13942.9781
,3540.7632,13942.9891
,3540.7799,13943.0096
,3540.7870,13943.0270
,3540.7925,13943.0486
,3540.7917,13943.0721
,3540.7870,13943.0937
,3540.7770,13943.1149
,3540.7603,13943.1320
,3540.7394,13943.1439
,3540.6986,13943.1613
,3540.6482,13943.1874
,3540.6278,13943.1970
,3540.6016,13943.2099
,3540.5857,13943.2183
,3540.5676,13943.2179
,3540.5488,13943.2144
,3540.5344,13943.2063
,3540.5203,13943.1919
,3540.5075,13943.1764
,3540.5076,13943.1469
,3540.5186,13943.1765
,3540.5288,13943.1897
,3540.5403,13943.2000
,3540.5531,13943.2060
,3540.5606,13943.2078
,3540.5679,13943.2089
,3540.5853,13943.2063
,3540.7486,13943.1275
,3540.7571,13943.1216
,3540.7639,13943.1152
,3540.7710,13943.1062
,3540.7765,13943.0960
,3540.7800,13943.0877
,3540.7830,13943.0747
,3540.7838,13943.0699
,3540.7844,13943.0552
,3540.7825,13943.0412
,3540.7786,13943.0283
,3540.7725,13943.0159
,3540.7661,13943.0069
,3540.7544,13942.9958
,3540.7346,13942.9853
,3540.7125,13942.9831
,3540.6998,13942.9877
,3540.6405,13943.0162
,3540.5356,13943.0692
,3540.5279,13943.0759
,3540.5187,13943.0885
,3540.5131,13943.0998
,3540.5096,13943.1125
,3540.5076,13943.1266
,3540.5084,13943.1429
,3540.5112,13943.1585
