都道414号 北参道ー外苑,00daa520
,3540.7650,13942.1255
,3540.7895,13942.1474
,3540.8039,13942.1648
,3540.8109,13942.1773
,3540.8129,13942.1884
,3540.8246,13942.2622
,3540.8333,13942.2996
,3540.8380,13942.3109
,3540.8623,13942.3549
,3540.8669,13942.3686
,3540.8697,13942.3825
,3540.8708,13942.3898
,3540.8733,13942.4159
,3540.8790,13942.5449
,3540.8774,13942.5640
,3540.8746,13942.5843
,3540.8609,13942.6376
,3540.8459,13942.6884
,3540.8293,13942.7669
,3540.7792,13942.9386
,3540.7757,13942.9691
,3540.7780,13942.9994
,3540.7674,13942.9895
,3540.7682,13942.9730
,3540.7691,13942.9600
,3540.7723,13942.9357
,3540.8167,13942.7852
,3540.8656,13942.5876
,3540.8700,13942.5709
,3540.8721,13942.5480
,3540.8651,13942.3942
,3540.8614,13942.3736
,3540.8554,13942.3565
,3540.8272,13942.3057
,3540.8172,13942.2776
,3540.8094,13942.2123
,3540.8000,13942.1769
,3540.7929,13942.1627
,3540.7715,13942.1457
,3540.7595,13942.1373
