都道415号 麻布通り（白金高輪ー六本木２丁目）,00daa520
,3538.5884,13944.0411
,3538.7461,13944.1309
,3538.8106,13944.1517
,3538.8490,13944.1714
,3538.9241,13944.1932
,3539.0586,13944.1937
,3539.0725,13944.1927
,3539.1189,13944.1817
,3539.1471,13944.1807
,3539.2323,13944.2009
,3539.3626,13944.2181
,3539.3955,13944.2098
,3539.4853,13944.1688
,3539.5827,13944.1891
,3539.6633,13944.2534
,3539.6873,13944.2638
,3539.8395,13944.2986
,3539.8880,13944.3094
,3539.9537,13944.3198
,3540.0039,13944.3328
,3540.0258,13944.3665
,3539.9963,13944.3541
,3539.9464,13944.3482
,3539.9276,13944.3497
,3539.8234,13944.3211
,3539.7295,13944.3014
,3539.6792,13944.2905
,3539.6585,13944.2806
,3539.5971,13944.2304
,3539.5718,13944.2156
,3539.4937,13944.1970
,3539.4642,13944.2021
,3539.3823,13944.2480
,3539.3137,13944.2368
,3539.2116,13944.2219
,3539.1777,13944.2128
,3539.1469,13944.2085
,3539.1218,13944.2080
,3539.0805,13944.2172
,3539.0438,13944.2172
,3538.9324,13944.2189
,3538.9080,13944.2172
,3538.8430,13944.1976
,3538.8031,13944.1754
,3538.7448,13944.1576
,3538.7042,13944.1376
,3538.5956,13944.0719
