都道416号 古川橋-天現寺,00daa520
,3538.7897,13944.1426
,3538.7990,13944.0721
,3538.8052,13944.0497
,3538.8099,13944.0367
,3538.8311,13943.9919
,3538.8360,13943.9785
,3538.8381,13943.9663
,3538.8390,13943.9507
,3538.8396,13943.9399
,3538.8399,13943.9406
,3538.8255,13943.8369
,3538.8246,13943.7689
,3538.8096,13943.7176
,3538.8002,13943.6768
,3538.7967,13943.6454
,3538.7976,13943.5940
,3538.7937,13943.5478
,3538.7926,13943.4985
,3538.7970,13943.4734
,3538.8088,13943.4463
,3538.8272,13943.4212
,3538.8450,13943.3938
,3538.8544,13943.3551
,3538.8725,13943.3558
,3538.8735,13943.3883
,3538.8240,13943.4541
,3538.8146,13943.4763
,3538.8096,13943.4989
,3538.8086,13943.5321
,3538.8138,13943.5817
,3538.8146,13943.6739
,3538.8342,13943.7458
,3538.8374,13943.7706
,3538.8380,13943.8083
,3538.8464,13943.8880
,3538.8514,13943.9328
,3538.8509,13943.9657
,3538.8488,13943.9827
,3538.8365,13944.0167
,3538.8198,13944.0461
,3538.8147,13944.0595
,3538.8131,13944.0689
,3538.8044,13944.1425
,3538.8059,13944.1499
