都道416号 天現寺-渋谷橋,00daa520
,3538.8544,13943.3551
,3538.8872,13943.2324
,3538.8921,13943.2119
,3538.8990,13943.1907
,3538.9155,13943.1590
,3538.9239,13943.1289
,3538.9252,13943.1061
,3538.9155,13943.0435
,3538.8899,13942.8587
,3538.8994,13942.7830
,3538.9167,13942.7050
,3538.9229,13942.6857
,3538.9276,13942.6770
,3538.9364,13942.6912
,3538.9216,13942.7499
,3538.9128,13942.8010
,3538.9048,13942.8662
,3538.9043,13942.8821
,3538.9325,13943.0622
,3538.9429,13943.1332
,3538.9379,13943.1470
,3538.9112,13943.2011
,3538.9074,13943.2126
,3538.8984,13943.2442
,3538.8798,13943.3164
,3538.8707,13943.3615
