駒沢通り 渋谷橋ー中目黒,00daa520
,3538.9490,13942.6790
,3538.9345,13942.6569
,3538.8899,13942.5752
,3538.8858,13942.5701
,3538.8020,13942.4882
,3538.7838,13942.4551
,3538.7816,13942.4396
,3538.7835,13942.3534
,3538.7954,13942.2637
,3538.8048,13942.1554
,3538.8003,13942.1281
,3538.7900,13942.1090
,3538.7825,13942.0975
,3538.7740,13942.0880
,3538.7612,13942.0811
,3538.7538,13942.0801
,3538.6641,13942.0740
,3538.5905,13942.0458
,3538.5475,13942.0353
,3538.5216,13942.0215
,3538.5168,13942.0256
,3538.5725,13942.0550
,3538.6519,13942.0873
,3538.6646,13942.0904
,3538.7488,13942.0961
,3538.7639,13942.1012
,3538.7814,13942.1202
,3538.7883,13942.1342
,3538.7912,13942.1494
,3538.7783,13942.2939
,3538.7695,13942.3517
,3538.7679,13942.3691
,3538.7666,13942.4443
,3538.7697,13942.4619
,3538.7910,13942.5023
,3538.8524,13942.5594
,3538.8850,13942.5963
,3538.8948,13942.6162
,3538.9256,13942.6721
,3538.9356,13942.6921
