都道418号 富久町-西五反田,00daa520
,3541.5533,13942.8533
,3541.4892,13942.8601
,3541.4611,13942.8748
,3541.3887,13942.9208
,3541.3698,13942.9285
,3541.3489,13942.9322
,3541.3086,13942.9291
,3541.2672,13942.9436
,3541.2319,13942.9498
,3541.0061,13942.9492
,3540.9775,13942.9454
,3540.9683,13942.9423
,3540.9587,13942.9366
,3540.8979,13942.8465
,3540.8918,13942.8443
,3540.8793,13942.8285
,3540.8702,13942.8217
,3540.8546,13942.8172
,3540.7779,13942.8076
,3540.7600,13942.8036
,3540.6830,13942.7647
,3540.6710,13942.7567
,3540.6137,13942.7449
,3540.5444,13942.7516
,3540.3837,13942.7426
,3540.3374,13942.7449
,3540.3089,13942.7528
,3540.2837,13942.7675
,3540.2313,13942.8138
,3540.1510,13942.9352
,3540.0996,13943.0138
,3540.0734,13943.0407
,3540.0649,13943.0556
,3540.0584,13943.0770
,3540.0423,13943.1595
,3540.0309,13943.1828
,3539.9975,13943.2126
,3539.9785,13943.2226
,3539.9615,13943.2283
,3539.9297,13943.2283
,3539.8835,13943.2246
,3539.8743,13943.2198
,3539.8469,13943.2235
,3539.8129,13943.2402
,3539.7393,13943.2664
,3539.6848,13943.3544
,3539.6652,13943.3699
,3539.6499,13943.3774
,3539.5231,13943.4134
,3539.4081,13943.4236
,3539.3863,13943.4182
,3539.3567,13943.4026
,3539.2329,13943.3404
,3539.1888,13943.3260
,3539.0468,13943.3287
,3538.9047,13943.3597
,3538.8459,13943.3570
,3538.8176,13943.3512
,3538.6707,13943.2954
,3538.5953,13943.2358
,3538.5290,13943.1827
,3538.4580,13943.0738
,3538.4363,13943.0449
,3538.4153,13943.0267
,3538.3909,13943.0154
,3538.2820,13943.0056
,3538.2541,13943.0104
,3538.2302,13943.0211
,3538.2084,13943.0366
,3538.1874,13943.0543
,3538.1325,13943.1123
,3538.0916,13943.1488
,3538.0697,13943.1724
,3538.0453,13943.1874
,3537.8805,13943.2415
,3537.8487,13943.2346
,3537.8108,13943.2308
,3537.6962,13943.1670
,3537.6756,13943.1589
,3537.5562,13943.1203
,3537.5279,13943.1016
,3537.5189,13943.0971
,3537.5079,13943.1184
,3537.5435,13943.1422
,3537.6707,13943.1827
,3537.7941,13943.2510
,3537.8611,13943.2651
,3537.8904,13943.2651
,3538.0463,13943.2136
,3538.0751,13943.1982
,3538.1013,13943.1776
,3538.1761,13943.0900
,3538.2059,13943.0605
,3538.2431,13943.0353
,3538.2844,13943.0205
,3538.3822,13943.0270
,3538.4131,13943.0411
,3538.4345,13943.0591
,3538.4502,13943.0791
,3538.5109,13943.1834
,3538.5297,13943.2104
,3538.5365,13943.2169
,3538.6689,13943.3115
,3538.6961,13943.3192
,3538.8672,13943.3842
,3539.0549,13943.3437
,3539.1805,13943.3385
,3539.2208,13943.3521
,3539.3782,13943.4325
,3539.3991,13943.4383
,3539.5194,13943.4299
,3539.6031,13943.4094
,3539.6496,13943.3932
,3539.6865,13943.3795
,3539.7402,13943.2863
,3539.7537,13943.2726
,3539.8223,13943.2480
,3539.8578,13943.2335
,3539.8713,13943.2335
,3539.8913,13943.2376
,3539.9504,13943.2409
,3539.9693,13943.2389
,3539.9825,13943.2343
,3540.0055,13943.2223
,3540.0302,13943.2036
,3540.0488,13943.1790
,3540.0569,13943.1515
,3540.0623,13943.1245
,3540.0744,13943.0650
,3540.0812,13943.0513
,3540.1092,13943.0213
,3540.1410,13942.9756
,3540.1610,13942.9432
,3540.2147,13942.8578
,3540.2407,13942.8254
,3540.2823,13942.7846
,3540.3045,13942.7710
,3540.3320,13942.7609
,3540.3556,13942.7588
,3540.3958,13942.7568
,3540.5259,13942.7659
,3540.5486,13942.7663
,3540.6070,13942.7622
,3540.6563,13942.7672
,3540.7624,13942.8196
,3540.8654,13942.8350
,3540.9333,13942.9258
,3540.9516,13942.9496
,3540.9726,13942.9605
,3541.2356,13942.9651
,3541.2685,13942.9605
,3541.3088,13942.9477
,3541.3646,13942.9514
,3541.4019,13942.9328
,3541.4594,13942.8980
,3541.4920,13942.8784
,3541.5560,13942.8689
