都道435号 池袋-護国寺,00daa520
,3543.9951,13942.9919
,3543.6623,13943.0093
,3543.6623,13943.0117
,3543.6396,13942.9912
,3543.4247,13943.3205
,3543.4040,13943.3447
,3543.3799,13943.3592
,3543.3491,13943.3686
,3543.3304,13943.3732
,3543.3033,13943.3843
,3543.2141,13943.4345
,3543.1911,13943.4514
,3543.1784,13943.4679
,3543.1600,13943.5057
,3543.1817,13943.6020
,3543.1737,13943.6280
,3543.1854,13943.6222
,3543.1897,13943.6050
,3543.1954,13943.6165
,3543.1994,13943.6099
,3543.1897,13943.5873
,3543.1767,13943.5358
,3543.1800,13943.5247
,3543.1820,13943.5037
,3543.1931,13943.5008
,3543.2158,13943.4608
,3543.2876,13943.4226
,3543.3184,13943.4057
,3543.3314,13943.4007
,3543.4046,13943.3834
,3543.4163,13943.3736
,3543.4277,13943.3617
,3543.5610,13943.1529
,3543.6326,13943.0447
,3543.6443,13943.0372
,3543.8076,13943.0233
,3543.9841,13943.0162
,3544.0145,13943.0220
