都道441号 要町通り-池袋駅入口,00daa520
,3543.8868,13942.4834
,3543.9097,13942.3829
,3543.9147,13942.3588
,3543.9655,13942.2375
,3543.9684,13942.2259
,3543.9683,13942.0516
,3543.9824,13941.9758
,3544.0022,13941.8270
,3544.0068,13941.8027
,3544.0311,13941.7259
,3544.0460,13941.6881
,3544.0671,13941.6527
,3544.1300,13941.5681
,3544.1758,13941.5090
,3544.2750,13941.3746
,3544.3226,13941.3102
,3544.3559,13941.2627
,3544.3790,13941.2222
,3544.4967,13940.9754
,3544.5453,13940.8685
,3544.6281,13940.6923
,3544.6797,13940.5812
,3544.7222,13940.4911
,3544.7376,13940.5057
,3544.6602,13940.6758
,3544.5498,13940.9086
,3544.4048,13941.2126
,3544.3805,13941.2659
,3544.0736,13941.6770
,3544.0675,13941.6866
,3544.0484,13941.7318
,3544.0347,13941.7737
,3544.0208,13941.8172
,3544.0139,13941.8681
,3544.0026,13941.9458
,3543.9921,13941.9827
,3543.9837,13942.0217
,3543.9804,13942.0480
,3543.9795,13942.2233
,3543.9592,13942.2857
,3543.9327,13942.3447
,3543.9252,13942.3688
,3543.9031,13942.4670
,3543.9080,13942.5019
