都道8号 江戸川橋-九段下,00daa520
,3542.6172,13943.8805
,3542.6162,13943.9120
,3542.6100,13943.9416
,3542.5632,13944.0630
,3542.5459,13944.1306
,3542.5316,13944.2281
,3542.5195,13944.3056
,3542.4853,13944.5335
,3542.4769,13944.5677
,3542.4657,13944.5857
,3542.4534,13944.5986
,3542.4414,13944.6053
,3542.3609,13944.6214
,3542.1779,13944.6851
,3542.1526,13944.6996
,3542.1050,13944.7666
,3542.0527,13944.8583
,3541.8789,13945.0253
,3541.8682,13945.0340
,3541.8483,13945.0495
,3541.7427,13945.0887
,3541.7357,13945.0903
,3541.7327,13945.0726
,3541.8015,13945.0501
,3541.8382,13945.0358
,3541.8714,13945.0112
,3541.9386,13944.9479
,3542.0390,13944.8498
,3542.0457,13944.8406
,3542.1143,13944.7270
,3542.1465,13944.6803
,3542.1748,13944.6686
,3542.3750,13944.5972
,3542.4586,13944.5758
,3542.4669,13944.5650
,3542.4695,13944.5571
,3542.5287,13944.1627
,3542.5358,13944.0953
,3542.5493,13944.0541
,3542.5729,13943.9923
,3542.5985,13943.9209
,3542.6013,13943.9032
,3542.6006,13943.8790
