都道8号 江戸川橋-谷原,00daa520
,3542.6013,13943.8849
,3542.5872,13943.7776
,3542.5780,13943.7379
,3542.5688,13943.6608
,3542.5695,13943.6372
,3542.5755,13943.6066
,3542.6258,13943.4069
,3542.6924,13943.1692
,3542.7150,13943.0994
,3542.7338,13943.0257
,3542.7735,13942.8452
,3542.8475,13942.6930
,3542.8616,13942.6607
,3542.8761,13942.6166
,3542.9675,13942.2520
,3542.9714,13942.2145
,3542.9693,13942.1639
,3542.9870,13941.8603
,3542.9912,13941.7766
,3543.0057,13941.6349
,3543.0312,13941.5232
,3543.0550,13941.4657
,3543.2342,13941.2014
,3543.2426,13941.1935
,3543.3503,13941.0400
,3543.4197,13940.9876
,3543.6264,13940.8799
,3543.6374,13940.8686
,3543.6562,13940.8411
,3543.7628,13940.6557
,3543.8874,13940.3927
,3543.9051,13940.3509
,3544.0389,13939.9736
,3544.0896,13939.7398
,3544.0991,13939.5571
,3544.1182,13939.2308
,3544.1243,13939.2029
,3544.1267,13939.1890
,3544.2124,13938.9827
,3544.2305,13938.9086
,3544.2361,13938.8723
,3544.2375,13938.8371
,3544.2340,13938.7572
,3544.2474,13938.7018
,3544.2676,13938.6595
,3544.2992,13938.5657
,3544.3462,13938.4284
,3544.3657,13938.3629
,3544.3965,13938.2914
,3544.6467,13937.7893
,3544.8223,13937.4520
,3544.9278,13937.2486
,3544.9331,13937.2286
,3544.9388,13937.1938
,3544.9435,13937.1269
,3544.9587,13937.1301
,3544.9472,13937.2157
,3544.9383,13937.2550
,3544.7873,13937.5505
,3544.5208,13938.0610
,3544.4064,13938.3017
,3544.3029,13938.5998
,3544.2784,13938.6635
,3544.2501,13938.7388
,3544.2481,13938.8779
,3544.2408,13938.9210
,3544.2246,13938.9867
,3544.2125,13939.0182
,3544.1378,13939.1991
,3544.1326,13939.2255
,3544.1305,13939.2377
,3544.1002,13939.7379
,3544.0923,13939.7894
,3544.0495,13939.9825
,3543.9121,13940.3681
,3543.8907,13940.4151
,3543.7767,13940.6591
,3543.6553,13940.8655
,3543.6445,13940.8807
,3543.6224,13940.9009
,3543.4314,13941.0002
,3543.3641,13941.0476
,3543.3487,13941.0667
,3543.1596,13941.3431
,3543.1381,13941.3754
,3543.0621,13941.4899
,3543.0436,13941.5247
,3543.0179,13941.6259
,3543.0035,13941.8037
,3542.9819,13942.1599
,3542.9840,13942.2149
,3542.9835,13942.2358
,3542.8844,13942.6382
,3542.8242,13942.7818
,3542.7867,13942.8596
,3542.7472,13943.0406
,3542.7076,13943.1684
,3542.6054,13943.5271
,3542.5977,13943.5670
,3542.5869,13943.6391
,3542.5895,13943.6846
,3542.6018,13943.7612
,3542.6090,13943.7890
,3542.6218,13943.8792
