山梨県道729号 まりも通り（平野-明神前）,00daa520
,3525.5823,13854.2080
,3525.5837,13854.2035
,3525.5911,13854.1805
,3525.5921,13854.1774
,3525.6081,13854.1480
,3525.6402,13854.0886
,3525.6438,13854.0822
,3525.6459,13854.0786
,3525.6774,13854.0197
,3525.6961,13853.9845
,3525.7035,13853.9703
,3525.7145,13853.9470
,3525.7184,13853.9398
,3525.7223,13853.9295
,3525.7236,13853.9253
,3525.7267,13853.9134
,3525.7346,13853.8824
,3525.7408,13853.8492
,3525.7420,13853.8362
,3525.7407,13853.8117
,3525.7392,13853.7969
,3525.7294,13853.7612
,3525.7279,13853.7574
,3525.7200,13853.7400
,3525.7132,13853.7326
,3525.6762,13853.7100
,3525.6548,13853.6974
,3525.6325,13853.6856
,3525.6055,13853.6540
,3525.5814,13853.6245
,3525.5725,13853.6155
,3525.5625,13853.6052
,3525.5532,13853.5990
,3525.5120,13853.5798
,3525.4820,13853.5651
,3525.4688,13853.5638
,3525.4304,13853.5709
,3525.4199,13853.5740
,3525.4030,13853.5774
,3525.3883,13853.5764
,3525.3771,13853.5736
,3525.3650,13853.5683
,3525.3536,13853.5587
,3525.3396,13853.5434
,3525.3317,13853.5313
,3525.3249,13853.5182
,3525.3216,13853.5102
,3525.3179,13853.4961
,3525.3144,13853.4705
,3525.3034,13853.3907
,3525.3044,13853.3761
,3525.3054,13853.3343
,3525.3034,13853.2760
,3525.3114,13853.2327
,3525.3006,13853.1836
,3525.2979,13853.1645
,3525.2958,13853.1340
,3525.2982,13853.1088
,3525.3084,13853.0554
,3525.3138,13853.0424
,3525.3180,13853.0351
,3525.3246,13853.0287
,3525.3344,13853.0235
,3525.3431,13853.0218
,3525.3545,13853.0235
,3525.3625,13853.0267
,3525.3729,13853.0334
,3525.3892,13853.0534
,3525.3989,13853.0580
,3525.4003,13853.0586
,3525.4061,13853.0579
,3525.4124,13853.0552
,3525.4186,13853.0500
,3525.4235,13853.0412
,3525.4258,13853.0251
,3525.4289,13853.0042
,3525.4324,13852.9821
,3525.4367,13852.9548
,3525.4436,13852.9354
,3525.4470,13852.9226
,3525.4488,13852.9065
,3525.4539,13852.8584
,3525.4581,13852.8307
,3525.4611,13852.8090
,3525.4657,13852.7838
,3525.4790,13852.7446
,3525.4972,13852.6878
,3525.5079,13852.6524
,3525.5155,13852.6276
,3525.5258,13852.6017
,3525.5399,13852.5709
,3525.5654,13852.5122
,3525.5758,13852.4827
,3525.5793,13852.4758
,3525.5934,13852.4346
,3525.6057,13852.3757
,3525.6234,13852.2861
,3525.6357,13852.1923
,3525.6402,13852.1489
,3525.6417,13852.1442
,3525.6459,13852.1088
,3525.6569,13852.0169
,3525.6678,13851.9264
,3525.6798,13851.8333
,3525.6909,13851.7509
,3525.6929,13851.7372
,3525.6953,13851.7234
,3525.7005,13851.7021
,3525.7109,13851.6662
,3525.7212,13851.6288
,3525.7206,13851.5577
,3525.7221,13851.5333
,3525.7314,13851.4740
,3525.7457,13851.4193
,3525.7678,13851.3339
,3525.7683,13851.3046
,3525.7627,13851.2604
,3525.7578,13851.2272
,3525.7457,13851.1809
,3525.7181,13851.0920
,3525.7090,13851.0816
,3525.6701,13851.0474
,3525.6238,13851.0132
,3525.5880,13850.9941
,3525.5750,13850.9878
,3525.5545,13850.9787
,3525.5271,13850.9670
,3525.5383,13850.9644
,3525.5571,13850.9721
,3525.5845,13850.9838
,3525.6044,13850.9949
,3525.6269,13851.0067
,3525.6552,13851.0261
,3525.6739,13851.0417
,3525.6988,13851.0632
,3525.7110,13851.0736
,3525.7227,13851.0882
,3525.7306,13851.1083
,3525.7383,13851.1337
,3525.7634,13851.2260
,3525.7683,13851.2546
,3525.7740,13851.3028
,3525.7744,13851.3188
,3525.7734,13851.3350
,3525.7542,13851.4111
,3525.7371,13851.4760
,3525.7288,13851.5307
,3525.7286,13851.5361
,3525.7270,13851.5574
,3525.7274,13851.6211
,3525.7268,13851.6308
,3525.7031,13851.7158
,3525.6986,13851.7386
,3525.6919,13851.7868
,3525.6846,13851.8374
,3525.6690,13851.9631
,3525.6573,13852.0584
,3525.6469,13852.1463
,3525.6303,13852.2761
,3525.6278,13852.2909
,3525.6117,13852.3732
,3525.5987,13852.4382
,3525.5839,13852.4789
,3525.5701,13852.5152
,3525.5519,13852.5591
,3525.5294,13852.6072
,3525.5211,13852.6288
,3525.5148,13852.6494
,3525.5002,13852.6964
,3525.4844,13852.7473
,3525.4710,13852.7858
,3525.4633,13852.8355
,3525.4523,13852.9227
,3525.4487,13852.9374
,3525.4424,13852.9568
,3525.4368,13852.9888
,3525.4290,13853.0440
,3525.4230,13853.0542
,3525.4155,13853.0607
,3525.4086,13853.0646
,3525.4007,13853.0651
,3525.3984,13853.0653
,3525.3899,13853.0629
,3525.3849,13853.0595
,3525.3693,13853.0394
,3525.3608,13853.0331
,3525.3518,13853.0305
,3525.3444,13853.0292
,3525.3366,13853.0307
,3525.3275,13853.0350
,3525.3214,13853.0408
,3525.3150,13853.0560
,3525.3087,13853.0864
,3525.3018,13853.1345
,3525.3021,13853.1465
,3525.3044,13853.1652
,3525.3064,13853.1822
,3525.3107,13853.2016
,3525.3162,13853.2221
,3525.3173,13853.2317
,3525.3099,13853.2765
,3525.3119,13853.3218
,3525.3104,13853.3737
,3525.3110,13853.3932
,3525.3191,13853.4561
,3525.3228,13853.4915
,3525.3286,13853.5091
,3525.3363,13853.5261
,3525.3456,13853.5410
,3525.3640,13853.5582
,3525.3827,13853.5674
,3525.4011,13853.5702
,3525.4173,13853.5674
,3525.4302,13853.5632
,3525.4585,13853.5579
,3525.4688,13853.5565
,3525.4838,13853.5579
,3525.4859,13853.5586
,3525.5457,13853.5879
,3525.5656,13853.5992
,3525.5861,13853.6215
,3525.6102,13853.6494
,3525.6359,13853.6784
,3525.7163,13853.7258
,3525.7246,13853.7343
,3525.7332,13853.7526
,3525.7416,13853.7802
,3525.7456,13853.7975
,3525.7467,13853.8095
,3525.7473,13853.8484
,3525.7390,13853.8898
,3525.7292,13853.9301
,3525.7061,13853.9785
,3525.6762,13854.0357
,3525.6482,13854.0866
,3525.6134,13854.1509
,3525.5967,13854.1813
,3525.5883,13854.2103
