山梨県道729号 （平野付近）,00daa520
,3525.5793,13854.2301
,3525.5796,13854.2324
,3525.5810,13854.2348
,3525.5846,13854.2386
,3525.5876,13854.2420
,3525.5900,13854.2454
,3525.5930,13854.2499
,3525.5965,13854.2557
,3525.6001,13854.2629
,3525.6023,13854.2685
,3525.6044,13854.2743
,3525.6068,13854.2811
,3525.6087,13854.2862
,3525.6098,13854.2905
,3525.6104,13854.2929
,3525.6110,13854.3016
,3525.6106,13854.3081
,3525.6099,13854.3232
,3525.6090,13854.3481
,3525.6084,13854.3640
,3525.6080,13854.3873
,3525.6074,13854.4082
,3525.6065,13854.4285
,3525.6059,13854.4333
,3525.6049,13854.4434
,3525.6026,13854.4651
,3525.6018,13854.4749
,3525.6008,13854.4928
,3525.5995,13854.5158
,3525.5981,13854.5406
,3525.5979,13854.5608
,3525.5981,13854.5716
,3525.5969,13854.5890
,3525.5946,13854.6090
,3525.5882,13854.6510
,3525.5854,13854.6703
,3525.5819,13854.6918
,3525.5810,13854.7041
,3525.5804,13854.7468
,3525.5800,13854.7895
,3525.5794,13854.8248
,3525.5786,13854.8622
,3525.5783,13854.8829
,3525.5781,13854.9214
,3525.5768,13854.9393
,3525.5771,13854.9481
,3525.5783,13854.9673
,3525.5775,13854.9891
,3525.5767,13855.0080
,3525.5767,13855.0119
,3525.5758,13855.0207
,3525.5768,13855.0504
,3525.5783,13855.0903
,3525.5796,13855.1135
,3525.5817,13855.1472
,3525.5840,13855.1871
,3525.5856,13855.2100
,3525.5873,13855.2354
,3525.5889,13855.2557
,3525.5908,13855.2823
,3525.5921,13855.3094
,3525.5925,13855.3263
,3525.5927,13855.3369
,3525.5945,13855.3679
,3525.5955,13855.3879
,3525.5966,13855.4185
,3525.5975,13855.4458
,3525.5979,13855.4632
,3525.5973,13855.4816
,3525.5976,13855.4941
,3525.6006,13855.5196
,3525.5995,13855.5355
,3525.5995,13855.5509
,3525.5991,13855.5555
,3525.5960,13855.5609
,3525.5924,13855.5641
,3525.5869,13855.5691
,3525.5843,13855.5717
,3525.5824,13855.5742
,3525.5759,13855.5829
,3525.5681,13855.5915
,3525.5606,13855.5999
,3525.5583,13855.6023
,3525.5573,13855.6008
,3525.5748,13855.5814
,3525.5811,13855.5721
,3525.5846,13855.5687
,3525.5893,13855.5642
,3525.5930,13855.5612
,3525.5967,13855.5566
,3525.5975,13855.5537
,3525.5978,13855.5504
,3525.5975,13855.5448
,3525.5976,13855.5361
,3525.5988,13855.5196
,3525.5968,13855.5046
,3525.5960,13855.4961
,3525.5953,13855.4824
,3525.5963,13855.4685
,3525.5963,13855.4607
,3525.5957,13855.4437
,3525.5945,13855.4112
,3525.5940,13855.3885
,3525.5925,13855.3654
,3525.5914,13855.3471
,3525.5902,13855.3115
,3525.5890,13855.2823
,3525.5858,13855.2438
,3525.5814,13855.1848
,3525.5765,13855.1103
,3525.5750,13855.0571
,3525.5738,13855.0127
,3525.5757,13854.9871
,3525.5762,13854.9703
,3525.5748,13854.9522
,3525.5751,13854.9263
,3525.5751,13854.9051
,3525.5751,13854.8917
,3525.5753,13854.8717
,3525.5764,13854.8402
,3525.5771,13854.7736
,3525.5782,13854.7141
,3525.5787,13854.6992
,3525.5793,13854.6909
,3525.5844,13854.6573
,3525.5918,13854.6088
,3525.5953,13854.5791
,3525.5953,13854.5455
,3525.5962,13854.5226
,3525.6011,13854.4527
,3525.6039,13854.4282
,3525.6042,13854.4110
,3525.6056,13854.3742
,3525.6060,13854.3532
,3525.6073,13854.3195
,3525.6074,13854.3010
,3525.6067,13854.2930
,3525.6033,13854.2823
,3525.5996,13854.2713
,3525.5958,13854.2615
,3525.5912,13854.2538
,3525.5871,13854.2487
,3525.5833,13854.2434
,3525.5802,13854.2404
,3525.5776,13854.2394
,3525.5756,13854.2412
