静岡県道147号山中湖小山線 小山町上野-柴怒田,00daa520
,3522.3174,13856.8761
,3522.3119,13856.8651
,3522.3044,13856.8518
,3522.2990,13856.8412
,3522.2964,13856.8365
,3522.2915,13856.8219
,3522.2783,13856.7892
,3522.2709,13856.7703
,3522.2687,13856.7650
,3522.2644,13856.7544
,3522.2586,13856.7415
,3522.2541,13856.7319
,3522.2472,13856.7196
,3522.2399,13856.7072
,3522.2286,13856.6887
,3522.2225,13856.6785
,3522.2093,13856.6562
,3522.1960,13856.6331
,3522.1907,13856.6219
,3522.1859,13856.6082
,3522.1806,13856.5914
,3522.1764,13856.5779
,3522.1722,13856.5642
,3522.1676,13856.5474
,3522.1652,13856.5353
,3522.1623,13856.5179
,3522.1604,13856.5047
,3522.1575,13856.4939
,3522.1539,13856.4841
,3522.1521,13856.4803
,3522.1493,13856.4750
,3522.1356,13856.4537
,3522.1263,13856.4384
,3522.1134,13856.4171
,3522.0960,13856.3900
,3522.0848,13856.3722
,3522.0636,13856.3383
,3522.0495,13856.3157
,3522.0344,13856.2920
,3522.0171,13856.2643
,3522.0001,13856.2378
,3521.9775,13856.2030
,3521.9610,13856.1738
,3521.9470,13856.1489
,3521.9221,13856.1048
,3521.9032,13856.0726
,3521.8875,13856.0464
,3521.8713,13856.0181
,3521.8647,13856.0068
,3521.8578,13856.0005
,3521.8397,13855.9837
,3521.8173,13855.9641
,3521.8079,13855.9569
,3521.7944,13855.9490
,3521.7788,13855.9410
,3521.7619,13855.9347
,3521.7359,13855.9282
,3521.7234,13855.9238
,3521.7149,13855.9162
,3521.7089,13855.9015
,3521.7104,13855.7811
,3521.7114,13855.7597
,3521.7149,13855.7394
,3521.7227,13855.7017
,3521.7299,13855.6431
,3521.7611,13855.5357
,3521.8172,13855.3666
,3521.8802,13855.1771
,3521.9258,13855.0515
,3521.9284,13855.0441
,3521.9442,13854.9196
,3521.9497,13854.8762
,3521.9500,13854.8600
,3521.9456,13854.8443
,3521.9391,13854.8297
,3521.9282,13854.8192
,3521.8871,13854.7905
,3521.8741,13854.7791
,3521.8637,13854.7666
,3521.8538,13854.7417
,3521.8442,13854.7255
,3521.8310,13854.6991
,3521.8271,13854.6819
,3521.8328,13854.6535
,3521.8398,13854.6277
,3521.8476,13854.6006
,3521.8591,13854.5614
,3521.8665,13854.5279
,3521.8680,13854.5055
,3521.8655,13854.4911
,3521.8521,13854.4311
,3521.8502,13854.4191
,3521.8541,13854.3941
,3521.8582,13854.3754
,3521.8601,13854.3603
,3521.8560,13854.2862
,3521.8585,13854.2831
,3521.8610,13854.2504
,3521.8592,13854.1986
,3521.8575,13854.1877
,3521.8550,13854.1772
,3521.8420,13854.1414
,3521.8350,13854.1164
,3521.8280,13854.0814
,3521.8236,13854.0639
,3521.8137,13854.0385
,3521.7995,13854.0117
,3521.7944,13854.0066
,3521.7548,13853.9746
,3521.7427,13853.9641
,3521.7243,13853.9431
,3521.7090,13853.9174
,3521.6868,13853.8777
,3521.6627,13853.8363
,3521.6493,13853.8185
,3521.6401,13853.8099
,3521.6020,13853.7986
,3521.5959,13853.7931
,3521.5778,13853.7733
,3521.5652,13853.7558
,3521.5584,13853.7367
,3521.5559,13853.7219
,3521.5550,13853.7009
,3521.5547,13853.6903
,3521.5505,13853.6821
,3521.5419,13853.6740
,3521.5331,13853.6677
,3521.4981,13853.6479
,3521.3882,13853.5856
,3521.3234,13853.5506
,3521.3082,13853.5404
,3521.2962,13853.5286
,3521.2848,13853.5144
,3521.2728,13853.4970
,3521.2658,13853.4861
,3521.2533,13853.4686
,3521.2362,13853.4423
,3521.2091,13853.4009
,3521.1808,13853.3606
,3521.1683,13853.3400
,3521.1658,13853.3340
,3521.1639,13853.3279
,3521.1621,13853.3202
,3521.1615,13853.3146
,3521.1591,13853.2854
,3521.1582,13853.2713
,3521.1564,13853.2269
,3521.1566,13853.1900
,3521.1572,13853.1956
,3521.1585,13853.2039
,3521.1596,13853.2119
,3521.1599,13853.2180
,3521.1604,13853.2314
,3521.1614,13853.2521
,3521.1623,13853.2708
,3521.1639,13853.2964
,3521.1654,13853.3139
,3521.1675,13853.3263
,3521.1698,13853.3328
,3521.1724,13853.3388
,3521.1846,13853.3573
,3521.2013,13853.3819
,3521.2113,13853.3958
,3521.2354,13853.4328
,3521.2487,13853.4532
,3521.2647,13853.4778
,3521.2854,13853.5082
,3521.2994,13853.5261
,3521.3126,13853.5378
,3521.3439,13853.5563
,3521.3805,13853.5768
,3521.4284,13853.6030
,3521.4863,13853.6361
,3521.5231,13853.6567
,3521.5353,13853.6635
,3521.5430,13853.6693
,3521.5505,13853.6763
,3521.5549,13853.6827
,3521.5584,13853.6899
,3521.5592,13853.6954
,3521.5592,13853.7159
,3521.5599,13853.7282
,3521.5622,13853.7378
,3521.5659,13853.7475
,3521.5725,13853.7590
,3521.5946,13853.7864
,3521.6003,13853.7918
,3521.6036,13853.7940
,3521.6391,13853.8048
,3521.6407,13853.8051
,3521.6464,13853.8090
,3521.6527,13853.8157
,3521.6693,13853.8395
,3521.6972,13853.8882
,3521.7134,13853.9172
,3521.7234,13853.9359
,3521.7315,13853.9465
,3521.7440,13853.9603
,3521.7605,13853.9728
,3521.7912,13853.9972
,3521.8008,13854.0073
,3521.8096,13854.0208
,3521.8174,13854.0362
,3521.8241,13854.0516
,3521.8284,13854.0659
,3521.8326,13854.0871
,3521.8377,13854.1108
,3521.8445,13854.1348
,3521.8550,13854.1644
,3521.8609,13854.1839
,3521.8628,13854.1960
,3521.8645,13854.2368
,3521.8643,13854.2701
,3521.8621,13854.2852
,3521.8636,13854.3347
,3521.8645,13854.3591
,3521.8640,13854.3722
,3521.8616,13854.3844
,3521.8574,13854.4027
,3521.8553,13854.4154
,3521.8560,13854.4240
