国道122号 都内区間（西巣鴨ー都県境）,00dc143c
,3544.6500,13943.7007
,3544.7036,13943.7619
,3544.8050,13943.9038
,3544.9453,13944.0998
,3545.0516,13944.2553
,3545.1167,13944.2025
,3545.1312,13944.1964
,3545.1468,13944.1983
,3545.1576,13944.2068
,3545.1621,13944.2157
,3545.1679,13944.2374
,3545.1710,13944.2464
,3545.1863,13944.2732
,3545.1947,13944.2812
,3545.2058,13944.3024
,3545.2188,13944.2878
,3545.2838,13944.2383
,3545.3714,13944.2492
,3545.5113,13944.2563
,3545.5614,13944.2652
,3545.6417,13944.2685
,3545.6555,13944.2675
,3545.6723,13944.2642
,3545.8425,13944.1728
,3545.9568,13944.1412
,3546.1629,13944.0692
,3546.3709,13943.9975
,3546.3858,13943.9956
,3546.5808,13944.0070
,3546.5995,13944.0065
,3546.6240,13944.0017
,3546.7532,13943.9122
,3546.8958,13943.7497
,3546.9272,13943.7044
,3546.9378,13943.6809
,3546.9424,13943.6780
,3547.0070,13943.3746
,3547.0346,13943.2506
,3547.0709,13943.2751
,3547.1152,13943.2978
,3547.1619,13943.3194
,3547.1737,13943.3298
,3547.1940,13943.3675
,3547.2842,13943.4043
,3547.3006,13943.3967
,3547.2104,13943.3581
,3547.1978,13943.3406
,3547.1825,13943.3171
,3547.1630,13943.3020
,3547.0731,13943.2567
,3547.0220,13943.2238
,3546.9317,13943.6521
,3546.9256,13943.6747
,3546.9096,13943.7073
,3546.8973,13943.7247
,3546.8140,13943.8199
,3546.7536,13943.8896
,3546.7455,13943.8976
,3546.6224,13943.9815
,3546.6106,13943.9872
,3546.5972,13943.9905
,3546.4462,13943.9820
,3546.3950,13943.9787
,3546.3758,13943.9791
,3546.3491,13943.9848
,3546.3204,13943.9947
,3546.1877,13944.0423
,3545.9824,13944.1148
,3545.9071,13944.1370
,3545.8340,13944.1587
,3545.7220,13944.2204
,3545.6792,13944.2416
,3545.6471,13944.2477
,3545.5786,13944.2426
,3545.3778,13944.2322
,3545.2830,13944.2162
,3545.2122,13944.2690
,3545.1805,13944.2233
,3545.1721,13944.1978
,3545.1618,13944.1832
,3545.1434,13944.1761
,3545.1289,13944.1728
,3545.1193,13944.1771
,3545.0543,13944.2299
,3544.9541,13944.0762
,3544.8283,13943.9018
,3544.8126,13943.8882
,3544.7323,13943.7765
,3544.7017,13943.7383
,3544.6658,13943.6865
