国道122号 都県境ー川口新井宿,00dc143c
,3547.2843,13943.4045
,3547.4452,13943.4733
,3547.5744,13943.5312
,3547.5920,13943.5406
,3547.6058,13943.5501
,3547.6566,13943.5859
,3547.6727,13943.5972
,3547.6953,13943.6067
,3547.7081,13943.6115
,3547.8337,13943.6051
,3547.8509,13943.6024
,3547.8639,13943.6063
,3547.8747,13943.6149
,3547.9558,13943.7175
,3547.9650,13943.7532
,3547.9712,13943.7681
,3547.9778,13943.7773
,3548.0115,13943.8115
,3548.1548,13943.9451
,3548.1652,13943.9537
,3548.1724,13943.9582
,3548.1947,13943.9686
,3548.2059,13943.9684
,3548.2218,13943.9699
,3548.3003,13943.9921
,3548.4620,13944.0373
,3548.5969,13944.0737
,3548.7467,13944.1126
,3548.9211,13944.1605
,3548.9255,13944.1642
,3549.0902,13944.2100
,3549.2602,13944.2586
,3549.3291,13944.2779
,3549.3699,13944.2872
,3549.3765,13944.2917
,3549.4042,13944.2995
,3549.4185,13944.2912
,3549.6913,13944.2422
,3549.7576,13944.2221
,3549.8025,13944.2002
,3549.9402,13944.1355
,3550.0712,13944.0700
,3550.0900,13944.0628
,3550.1155,13944.0567
,3550.1428,13944.0529
,3550.1546,13944.0534
,3550.1846,13944.0542
,3550.2060,13944.0595
,3550.2779,13944.0816
,3550.3236,13944.0952
,3550.3364,13944.0974
,3550.3644,13944.0982
,3550.3842,13944.0974
,3550.5029,13944.0841
,3550.6424,13944.0668
,3550.7424,13944.0622
,3550.8856,13944.0577
,3550.9776,13944.0539
,3550.9919,13944.0536
,3550.9932,13944.0421
,3550.6745,13944.0516
,3550.6261,13944.0541
,3550.5392,13944.0649
,3550.3755,13944.0843
,3550.3484,13944.0843
,3550.3172,13944.0788
,3550.2059,13944.0448
,3550.1873,13944.0425
,3550.1685,13944.0403
,3550.1450,13944.0398
,3550.1109,13944.0443
,3550.0745,13944.0529
,3550.0235,13944.0800
,3549.9259,13944.1286
,3549.8967,13944.1394
,3549.7557,13944.2031
,3549.7149,13944.2142
,3549.6990,13944.2220
,3549.6460,13944.2389
,3549.5529,13944.2549
,3549.4185,13944.2776
,3549.3958,13944.2794
,3549.3764,13944.2773
,3549.3252,13944.2653
,3549.2183,13944.2348
,3549.1324,13944.2086
,3549.0914,13944.1940
,3548.9273,13944.1485
,3548.7897,13944.1129
,3548.5956,13944.0617
,3548.2699,13943.9698
,3548.1946,13943.9527
,3548.1759,13943.9470
,3548.1037,13943.8829
,3547.9948,13943.7784
,3547.9791,13943.7584
,3547.9719,13943.7394
,3547.9649,13943.7105
,3547.8708,13943.5934
,3547.8285,13943.5891
,3547.7265,13943.5973
,3547.7042,13943.5951
,3547.6886,13943.5905
,3547.6793,13943.5855
,3547.6605,13943.5741
,3547.6304,13943.5508
,3547.5953,13943.5268
,3547.5051,13943.4852
,3547.3011,13943.3965
