R138 須走-御殿場I.C付近,00dc143c
,3521.6970,13851.8865
,3521.6970,13851.8942
,3521.6523,13851.8820
,3521.6383,13851.9157
,3521.6208,13851.9562
,3521.6055,13851.9838
,3521.5910,13852.0067
,3521.5775,13852.0239
,3521.5547,13852.0554
,3521.5331,13852.0798
,3521.5050,13852.1157
,3521.4884,13852.1364
,3521.4702,13852.1618
,3521.4216,13852.2250
,3521.3752,13852.2874
,3521.3173,13852.3639
,3521.2989,13852.3887
,3521.3019,13852.3933
,3521.2634,13852.4359
,3521.2448,13852.4538
,3521.2119,13852.4781
,3521.1905,13852.4895
,3521.1786,13852.4950
,3521.1311,13852.5064
,3521.0993,13852.5161
,3521.0862,13852.5211
,3521.0604,13852.5450
,3521.0122,13852.5917
,3520.9629,13852.6495
,3520.8888,13852.7091
,3520.8327,13852.7554
,3520.8096,13852.7801
,3520.7838,13852.8122
,3520.7266,13852.8965
,3520.7012,13852.9309
,3520.6529,13852.9753
,3520.6208,13853.0061
,3520.5969,13853.0432
,3520.5722,13853.0835
,3520.5228,13853.1587
,3520.4922,13853.2077
,3520.4757,13853.2256
,3520.4409,13853.2747
,3520.4252,13853.3044
,3520.3976,13853.3691
,3520.3703,13853.4383
,3520.3516,13853.4690
,3520.3303,13853.4951
,3520.3019,13853.5189
,3520.2884,13853.5304
,3520.2540,13853.5731
,3520.2417,13853.5849
,3520.1953,13853.6799
,3520.1669,13853.7234
,3520.1358,13853.7486
,3520.0854,13853.7825
,3520.0532,13853.8059
,3520.0368,13853.8256
,3520.0237,13853.8508
,3520.0177,13853.8696
,3520.0050,13853.9218
,3519.9919,13853.9645
,3519.9855,13853.9787
,3519.9560,13854.0259
,3519.9272,13854.0763
,3519.9130,13854.1015
,3519.8961,13854.1451
,3519.8647,13854.2327
,3519.8456,13854.2800
,3519.8358,13854.2955
,3519.7838,13854.3450
,3519.7195,13854.3785
,3519.6421,13854.4174
,3519.5558,13854.4624
,3519.5228,13854.4812
,3519.5030,13854.4986
,3519.4316,13854.5712
,3519.3948,13854.6094
,3519.3480,13854.6421
,3519.3332,13854.6519
,3519.3192,13854.6638
,3519.2669,13854.7295
,3519.2264,13854.7807
,3519.2052,13854.8030
,3519.1930,13854.8118
,3519.1787,13854.8325
,3519.1584,13854.8496
,3519.1508,13854.8651
,3519.1225,13854.9525
,3519.1014,13855.0089
,3519.0790,13855.0560
,3519.0566,13855.1000
,3519.0127,13855.1740
,3518.9448,13855.2796
,3518.9056,13855.3386
,3518.8473,13855.4482
,3518.8494,13855.4524
,3518.8322,13855.5052
,3518.7954,13855.6009
,3518.7549,13855.7246
,3518.7135,13855.8483
,3518.6748,13855.9476
,3518.6211,13856.0529
,3518.6024,13856.0806
,3518.5310,13856.1799
,3518.4883,13856.2312
,3518.4621,13856.2622
,3518.4356,13856.2943
,3518.3156,13856.4521
,3518.2455,13856.5463
,3518.2092,13856.5954
,3518.0172,13856.8509
,3517.9551,13856.9347
,3517.9214,13856.9854
,3517.8855,13857.0542
,3517.8588,13857.0904
,3517.7351,13857.2203
,3517.6312,13857.3238
,3517.5915,13857.3590
,3517.5755,13857.3709
,3517.5564,13857.3781
,3517.5349,13857.3813
,3517.5163,13857.3787
,3517.4031,13857.3456
,3517.3694,13857.3363
,3517.3730,13857.3240
,3517.5144,13857.3659
,3517.5370,13857.3678
,3517.5601,13857.3613
,3517.5780,13857.3523
,3517.5963,13857.3298
,3517.7235,13857.2037
,3517.8459,13857.0768
,3517.8995,13856.9874
,3517.9515,13856.9056
,3518.0235,13856.8129
,3518.1800,13856.6043
,3518.3266,13856.4144
,3518.4427,13856.2554
,3518.5289,13856.1447
,3518.6076,13856.0340
,3518.6465,13855.9593
,3518.6928,13855.8525
,3518.7390,13855.7218
,3518.7994,13855.5377
,3518.8409,13855.4418
,3518.9139,13855.3098
,3518.9638,13855.2325
,3519.0237,13855.1418
,3519.0521,13855.0954
,3519.0767,13855.0426
,3519.1497,13854.8463
,3519.1871,13854.8122
,3519.2123,13854.7877
,3519.2658,13854.7208
,3519.3178,13854.6570
,3519.3320,13854.6448
,3519.3725,13854.6184
,3519.3893,13854.6049
,3519.4418,13854.5508
,3519.4885,13854.5032
,3519.5184,13854.4768
,3519.5478,13854.4588
,3519.7727,13854.3436
,3519.7832,13854.3364
,3519.8325,13854.2901
,3519.8451,13854.2682
,3519.8997,13854.1137
,3519.9155,13854.0816
,3519.9749,13853.9856
,3519.9885,13853.9554
,3520.0069,13853.8775
,3520.0137,13853.8524
,3520.0331,13853.8119
,3520.1114,13853.7565
,3520.1497,13853.7294
,3520.1639,13853.7140
,3520.1791,13853.6953
,3520.2258,13853.6026
,3520.2384,13853.5794
,3520.2773,13853.5318
,3520.3151,13853.4977
,3520.3273,13853.4871
,3520.3495,13853.4576
,3520.3780,13853.3991
,3520.4135,13853.3157
,3520.4364,13853.2721
,3520.4808,13853.2063
,3520.5249,13853.1442
,3520.5911,13853.0421
,3520.6211,13852.9972
,3520.6999,13852.9233
,3520.7151,13852.9038
,3520.7709,13852.8208
,3520.7802,13852.8022
,3520.8198,13852.7577
,3520.9385,13852.6631
,3520.9626,13852.6412
,3521.0256,13852.5685
,3521.0828,13852.5138
,3521.1621,13852.4893
,3521.1899,13852.4770
,3521.2209,13852.4520
,3521.2224,13852.4584
,3521.2500,13852.4359
,3521.2600,13852.4240
,3521.3049,13852.3689
,3521.3374,13852.3279
,3521.4120,13852.2271
,3521.4792,13852.1376
,3521.5029,13852.1071
,3521.5299,13852.0675
,3521.5575,13852.0227
,3521.5844,13851.9754
,3521.6058,13851.9362
,3521.6234,13851.8997
,3521.6332,13851.8700
,3521.6681,13851.8790
,3521.6920,13851.8847
