国道138号 山中湖-須走,00dc143c
,3524.4518,13852.5587
,3524.4026,13852.5726
,3524.3936,13852.5738
,3524.3450,13852.5667
,3524.2867,13852.5576
,3524.2707,13852.5571
,3524.2435,13852.5441
,3524.1753,13852.5000
,3524.1711,13852.4938
,3524.1534,13852.4601
,3524.1446,13852.4454
,3524.0871,13852.3873
,3524.0821,13852.3802
,3524.0686,13852.3108
,3524.0550,13852.2219
,3524.0456,13852.1871
,3524.0205,13852.1461
,3524.0162,13852.1331
,3524.0157,13852.1251
,3524.0357,13852.0660
,3524.0374,13852.0543
,3524.0367,13852.0410
,3524.0298,13852.0275
,3524.0244,13852.0211
,3524.0190,13852.0160
,3524.0131,13852.0134
,3524.0085,13852.0126
,3523.9006,13852.0219
,3523.8564,13852.0235
,3523.8457,13852.0171
,3523.8372,13852.0080
,3523.8234,13851.9958
,3523.7941,13851.9828
,3523.7838,13851.9744
,3523.7639,13851.9468
,3523.7199,13851.9086
,3523.7138,13851.9000
,3523.6970,13851.8718
,3523.6810,13851.8496
,3523.6749,13851.8416
,3523.6684,13851.8359
,3523.6493,13851.8283
,3523.6305,13851.8290
,3523.6022,13851.8331
,3523.5191,13851.8496
,3523.5114,13851.8530
,3523.5063,13851.8581
,3523.5019,13851.8685
,3523.4830,13851.9265
,3523.4815,13851.9187
,3523.4897,13851.8746
,3523.4900,13851.8331
,3523.4874,13851.8238
,3523.4809,13851.8128
,3523.4748,13851.8073
,3523.4170,13851.7689
,3523.3920,13851.7582
,3523.3827,13851.7507
,3523.3357,13851.7079
,3523.2502,13851.6453
,3523.2273,13851.6295
,3523.1783,13851.5957
,3523.1463,13851.5661
,3523.1021,13851.5243
,3523.0640,13851.4851
,3523.0467,13851.4585
,3523.0399,13851.4447
,3523.0362,13851.4249
,3523.0436,13851.3910
,3523.0297,13851.3629
,3522.9973,13851.3475
,3522.9891,13851.3364
,3522.9798,13851.3136
,3522.9787,13851.3067
,3522.9826,13851.2916
,3522.9906,13851.2773
,3522.9893,13851.2534
,3522.9902,13851.2455
,3522.9950,13851.2343
,3523.0051,13851.2168
,3523.0081,13851.2081
,3523.0079,13851.1999
,3523.0019,13851.1556
,3522.9990,13851.1476
,3522.9943,13851.1389
,3522.9755,13851.1188
,3522.9660,13851.0965
,3522.9632,13851.0856
,3522.9621,13851.0702
,3522.9651,13851.0323
,3522.9588,13851.0130
,3522.9528,13851.0055
,3522.9426,13850.9986
,3522.9275,13850.9952
,3522.9022,13850.9915
,3522.8553,13850.9761
,3522.8432,13850.9740
,3522.8324,13850.9767
,3522.8199,13850.9833
,3522.8093,13850.9941
,3522.8010,13851.0050
,3522.7956,13851.0159
,3522.7963,13851.0268
,3522.7991,13851.0342
,3522.8019,13851.0394
,3522.8063,13851.0439
,3522.8141,13851.0460
,3522.8193,13851.0446
,3522.8257,13851.0417
,3522.8438,13851.0222
,3522.8492,13851.0190
,3522.8558,13851.0170
,3522.8609,13851.0172
,3522.8689,13851.0196
,3522.8803,13851.0264
,3522.8932,13851.0366
,3522.8991,13851.0438
,3522.9030,13851.0533
,3522.9089,13851.1090
,3522.9131,13851.1312
,3522.9198,13851.1456
,3522.9317,13851.1667
,3522.9396,13851.1815
,3522.9415,13851.1891
,3522.9411,13851.1965
,3522.9363,13851.2050
,3522.9170,13851.2220
,3522.8732,13851.2495
,3522.8611,13851.2617
,3522.8595,13851.2797
,3522.8621,13851.2958
,3522.8884,13851.3583
,3522.8915,13851.3789
,3522.8821,13851.4240
,3522.8831,13851.4420
,3522.9089,13851.5031
,3522.9068,13851.5192
,3522.8952,13851.5314
,3522.7771,13851.5031
,3522.7480,13851.5005
,3522.6703,13851.4937
,3522.5751,13851.5044
,3522.5369,13851.5145
,3522.5087,13851.5268
,3522.4550,13851.5777
,3522.4375,13851.5912
,3522.4194,13851.6007
,3522.2714,13851.6046
,3522.2546,13851.6031
,3522.1880,13851.5793
,3522.1751,13851.5643
,3522.1564,13851.5206
,3522.1467,13851.5032
,3522.1273,13851.4866
,3522.0866,13851.4747
,3522.0291,13851.4897
,3522.0013,13851.5040
,3521.9574,13851.5577
,3521.9474,13851.5661
,3521.9382,13851.5700
,3521.8859,13851.5685
,3521.8767,13851.5715
,3521.8743,13851.5730
,3521.8630,13851.5818
,3521.8075,13851.6459
,3521.7351,13851.7213
,3521.7291,13851.7307
,3521.7022,13851.7923
,3521.7018,13851.7943
,3521.6978,13851.8185
,3521.6921,13851.8845
,3521.6970,13851.8865
,3521.7029,13851.8284
,3521.7075,13851.7966
,3521.7140,13851.7768
,3521.7317,13851.7395
,3521.7390,13851.7278
,3521.8720,13851.5851
,3521.8854,13851.5780
,3521.9376,13851.5794
,3521.9497,13851.5742
,3521.9613,13851.5647
,3522.0030,13851.5149
,3522.0778,13851.4877
,3522.1284,13851.4972
,3522.1452,13851.5157
,3522.1659,13851.5682
,3522.1797,13851.5844
,3522.1926,13851.5923
,3522.2538,13851.6122
,3522.2719,13851.6150
,3522.4021,13851.6127
,3522.4206,13851.6088
,3522.4406,13851.5991
,3522.4591,13851.5849
,3522.4989,13851.5423
,3522.5124,13851.5338
,3522.5415,13851.5224
,3522.6143,13851.5082
,3522.6666,13851.5048
,3522.7463,13851.5076
,3522.7778,13851.5133
,3522.8927,13851.5406
,3522.9024,13851.5372
,3522.9113,13851.5264
,3522.9150,13851.5156
,3522.9159,13851.4986
,3522.8941,13851.4554
,3522.8890,13851.4377
,3522.8983,13851.3815
,3522.8941,13851.3562
,3522.8675,13851.2896
,3522.8652,13851.2773
,3522.8682,13851.2647
,3522.8752,13851.2570
,3522.9167,13851.2301
,3522.9396,13851.2106
,3522.9462,13851.1995
,3522.9473,13851.1885
,3522.9449,13851.1771
,3522.9333,13851.1560
,3522.9250,13851.1417
,3522.9191,13851.1275
,3522.9140,13851.0981
,3522.9087,13851.0517
,3522.9041,13851.0399
,3522.8968,13851.0305
,3522.8828,13851.0199
,3522.8715,13851.0130
,3522.8609,13851.0101
,3522.8516,13851.0105
,3522.8406,13851.0158
,3522.8233,13851.0369
,3522.8142,13851.0406
,3522.8084,13851.0390
,3522.8025,13851.0307
,3522.8016,13851.0193
,3522.8048,13851.0101
,3522.8123,13850.9998
,3522.8224,13850.9899
,3522.8343,13850.9833
,3522.8429,13850.9812
,3522.8532,13850.9824
,3522.9006,13850.9981
,3522.9251,13851.0013
,3522.9410,13851.0048
,3522.9514,13851.0129
,3522.9548,13851.0173
,3522.9593,13851.0336
,3522.9564,13851.0704
,3522.9595,13851.0946
,3522.9710,13851.1228
,3522.9902,13851.1432
,3522.9942,13851.1506
,3522.9965,13851.1583
,3523.0025,13851.2037
