国道138号 山中湖-富士吉田,00dc143c
,3524.4528,13852.5651
,3524.4518,13852.5587
,3524.4497,13852.5451
,3524.4394,13852.4921
,3524.4338,13852.4449
,3524.4306,13852.4100
,3524.4335,13852.3807
,3524.4520,13852.3090
,3524.4614,13852.2667
,3524.4657,13852.2403
,3524.4683,13852.1863
,3524.4761,13852.1131
,3524.4912,13852.0225
,3524.5134,13851.9481
,3524.5423,13851.8437
,3524.5607,13851.7768
,3524.5668,13851.7648
,3524.5890,13851.7441
,3524.5937,13851.7373
,3524.6128,13851.7264
,3524.6422,13851.7192
,3524.6480,13851.7206
,3524.6822,13851.7104
,3524.7072,13851.6988
,3524.7975,13851.6249
,3524.9685,13851.4613
,3525.0760,13851.3490
,3525.1506,13851.2698
,3525.2460,13851.1591
,3525.3899,13850.9873
,3525.4081,13850.9703
,3525.4424,13850.9517
,3525.4658,13850.9479
,3525.5247,13850.9586
,3525.5285,13850.9604
,3525.5430,13850.9565
,3525.5573,13850.9503
,3525.6076,13850.9185
,3525.6428,13850.8902
,3525.6634,13850.8671
,3525.6822,13850.8414
,3525.7071,13850.7990
,3525.7265,13850.7603
,3525.7450,13850.7318
,3525.7438,13850.7261
,3525.9453,13850.5813
,3526.0640,13850.4665
,3526.1565,13850.3748
,3526.2171,13850.3125
,3526.3896,13850.0668
,3526.5224,13849.8725
,3526.6530,13849.5921
,3526.7763,13849.3509
,3526.8532,13849.2060
,3526.9556,13849.0186
,3527.0277,13848.8955
,3527.1040,13848.7993
,3527.1899,13848.6599
,3527.3036,13848.4759
,3527.3631,13848.3784
,3527.4037,13848.3316
,3527.4832,13848.2593
,3527.5173,13848.2447
,3527.5952,13848.2574
,3527.6151,13848.2564
,3527.7701,13848.2194
,3527.9260,13848.1392
,3528.0455,13848.0961
,3528.1744,13848.0213
,3528.3384,13847.7667
,3528.4977,13847.5073
,3528.5044,13847.5152
,3528.4029,13847.6805
,3528.2369,13847.9490
,3528.2032,13847.9990
,3528.1799,13848.0297
,3528.1679,13848.0403
,3528.1332,13848.0636
,3528.0713,13848.0983
,3528.0425,13848.1110
,3527.9964,13848.1263
,3527.9459,13848.1443
,3527.8227,13848.2043
,3527.8151,13848.2076
,3527.7777,13848.2262
,3527.6127,13848.2676
,3527.5974,13848.2689
,3527.5236,13848.2542
,3527.4995,13848.2605
,3527.4822,13848.2696
,3527.4654,13848.2831
,3527.4185,13848.3257
,3527.3672,13848.3866
,3527.3001,13848.4947
,3527.2180,13848.6264
,3527.1586,13848.7261
,3527.1120,13848.7998
,3527.0841,13848.8364
,3527.0389,13848.8925
,3527.0187,13848.9232
,3526.9398,13849.0643
,3526.8595,13849.2119
,3526.6994,13849.5159
,3526.6263,13849.6693
,3526.5287,13849.8771
,3526.4387,13850.0100
,3526.3137,13850.1918
,3526.2276,13850.3128
,3526.1579,13850.3848
,3525.9501,13850.5891
,3525.7649,13850.7195
,3525.7489,13850.7364
,3525.7331,13850.7584
,3525.7092,13850.8087
,3525.6801,13850.8563
,3525.6651,13850.8761
,3525.6353,13850.9040
,3525.6108,13850.9248
,3525.5603,13850.9560
,3525.5391,13850.9640
,3525.5279,13850.9665
,3525.4740,13850.9568
,3525.4573,13850.9568
,3525.4367,13850.9630
,3525.4194,13850.9703
,3525.4108,13850.9766
,3525.3968,13850.9894
,3525.2829,13851.1252
,3525.1811,13851.2446
,3525.1041,13851.3288
,3525.0131,13851.4268
,3524.9457,13851.4936
,3524.8118,13851.6222
,3524.7244,13851.6932
,3524.6853,13851.7167
,3524.6112,13851.7409
,3524.5809,13851.7612
,3524.5727,13851.7766
,3524.5666,13851.7902
,3524.4980,13852.0233
,3524.4819,13852.1220
,3524.4717,13852.2451
,3524.4402,13852.3771
,3524.4371,13852.4067
,3524.4591,13852.5638
