R139 富士吉田-西湖,00dc143c
,3528.4977,13847.5073
,3528.5315,13847.4508
,3528.6020,13847.3340
,3528.6300,13847.2889
,3528.6898,13847.2078
,3528.7063,13847.1837
,3528.8004,13847.0610
,3528.8501,13846.9923
,3528.8776,13846.9537
,3528.8918,13846.9312
,3528.9051,13846.9024
,3528.9237,13846.8598
,3528.9890,13846.7122
,3529.0422,13846.5816
,3529.0757,13846.4986
,3529.1542,13846.3313
,3529.1637,13846.3110
,3529.2770,13846.0412
,3529.3844,13845.7890
,3529.4563,13845.6126
,3529.4744,13845.5403
,3529.4789,13845.3246
,3529.4687,13845.1969
,3529.3875,13844.6922
,3529.3404,13844.3968
,3529.3215,13844.2920
,3529.2949,13844.1995
,3529.2584,13844.1083
,3529.2141,13844.0316
,3529.1697,13843.9644
,3529.0840,13843.8487
,3529.0389,13843.7878
,3528.9984,13843.7361
,3528.9720,13843.6939
,3528.9566,13843.6633
,3528.9516,13843.6408
,3528.9487,13843.6126
,3528.9462,13843.5882
,3528.9477,13843.5497
,3528.9537,13843.5100
,3528.9756,13843.4476
,3529.0129,13843.3181
,3529.0277,13843.2748
,3529.0406,13843.2496
,3529.0582,13843.1817
,3529.0752,13843.1323
,3529.0783,13843.1069
,3529.0722,13843.0733
,3529.0442,13843.0248
,3529.0125,13842.9582
,3528.9858,13842.8992
,3528.9542,13842.8253
,3528.9311,13842.7632
,3528.9146,13842.6975
,3528.8933,13842.5817
,3528.8562,13842.3747
,3528.8313,13842.2290
,3528.8021,13842.0586
,3528.7765,13841.8793
,3528.7753,13841.8195
,3528.7753,13841.8195
,3528.7796,13841.6358
,3528.7753,13841.5729
,3528.7686,13841.5461
,3528.7577,13841.5229
,3528.7132,13841.4519
,3528.6725,13841.3832
,3528.6548,13841.3458
,3528.6469,13841.3152
,3528.6451,13841.2719
,3528.6506,13841.2255
,3528.6767,13841.0634
,3528.6822,13840.9894
,3528.6566,13840.8871
,3528.6512,13840.8572
,3528.6475,13840.8294
,3528.6492,13840.8032
,3528.6537,13840.7291
,3528.6670,13840.6549
,3528.6759,13840.6255
,3528.6990,13840.5808
,3528.7122,13840.5384
,3528.6662,13840.2981
,3528.6688,13840.2707
,3528.6767,13840.1626
,3528.6780,13840.0772
,3528.6711,13839.8882
,3528.6309,13839.7602
,3528.6299,13839.7216
,3528.6538,13839.6843
,3528.6885,13839.6536
,3528.7102,13839.6443
,3528.7232,13839.6323
,3528.7417,13839.6030
,3528.7471,13839.5643
,3528.8915,13839.3031
,3528.9294,13839.2284
,3529.1020,13838.9578
,3529.2453,13838.7352
,3529.2616,13838.7051
,3529.2728,13838.6715
,3529.2736,13838.6082
,3529.2698,13838.5903
,3529.2048,13838.4287
,3529.1801,13838.3605
,3529.1690,13838.3269
,3529.1638,13838.3043
,3529.1638,13838.2750
,3529.1805,13838.1674
,3529.1835,13838.1401
,3529.1826,13838.1207
,3529.1484,13838.0388
,3529.1429,13838.0231
,3529.1403,13838.0095
,3529.1408,13837.9953
,3529.1472,13837.9749
,3529.1942,13837.8667
,3529.2450,13837.7471
,3529.2766,13837.6490
,3529.2920,13837.6138
,3529.2968,13837.6184
,3529.2812,13837.6545
,3529.2502,13837.7477
,3529.2291,13837.7937
,3529.1966,13837.8750
,3529.1510,13837.9808
,3529.1457,13837.9998
,3529.1456,13838.0082
,3529.1471,13838.0173
,3529.1534,13838.0356
,3529.1823,13838.1014
,3529.1883,13838.1193
,3529.1898,13838.1409
,3529.1862,13838.1774
,3529.1696,13838.2722
