R139 西湖-山梨・静岡県境,00dc143c
,3529.2920,13837.6138
,3529.3535,13837.5021
,3529.3629,13837.4806
,3529.3697,13837.4502
,3529.3689,13837.4260
,3529.3682,13837.4111
,3529.3645,13837.4008
,3529.3617,13837.3924
,3529.3565,13837.3815
,3529.3530,13837.3737
,3529.3140,13837.3105
,3529.2716,13837.2329
,3529.2567,13837.2150
,3529.2360,13837.1979
,3529.2224,13837.1904
,3529.1880,13837.1767
,3529.1487,13837.1622
,3529.1258,13837.1512
,3529.0856,13837.1383
,3529.0635,13837.1276
,3529.0407,13837.1109
,3529.0137,13837.0831
,3529.0017,13837.0660
,3528.9902,13837.0333
,3528.9003,13836.8166
,3528.8391,13836.6619
,3528.8330,13836.6516
,3528.7728,13836.5899
,3528.7346,13836.5049
,3528.7100,13836.4512
,3528.7002,13836.4337
,3528.6908,13836.4273
,3528.6753,13836.4254
,3528.6646,13836.4261
,3528.5714,13836.4711
,3528.5571,13836.4758
,3528.5334,13836.4703
,3528.5085,13836.4607
,3528.4968,13836.4572
,3528.4852,13836.4575
,3528.4761,13836.4603
,3528.4687,13836.4663
,3528.4635,13836.4798
,3528.4733,13836.6361
,3528.4722,13836.6476
,3528.4687,13836.6564
,3528.4619,13836.6647
,3528.4353,13836.6922
,3528.3926,13836.7331
,3528.3482,13836.7900
,3528.3272,13836.8127
,3528.3146,13836.8242
,3528.3065,13836.8286
,3528.2997,13836.8286
,3528.2928,13836.8274
,3528.2838,13836.8230
,3528.2631,13836.8083
,3528.2520,13836.8043
,3528.2232,13836.7983
,3528.2106,13836.7944
,3528.2035,13836.7912
,3528.1947,13836.7820
,3528.1844,13836.7681
,3528.0263,13836.5494
,3527.9375,13836.4284
,3527.9019,13836.3775
,3527.8793,13836.3588
,3527.8688,13836.3537
,3527.8468,13836.3466
,3527.7666,13836.3498
,3527.9048,13836.3818
,3527.7193,13836.3510
,3527.6982,13836.3604
,3527.6890,13836.3673
,3527.6808,13836.3779
,3527.6273,13836.4931
,3527.5988,13836.5251
,3527.5641,13836.5551
,3527.5437,13836.5651
,3527.5227,13836.5720
,3527.5197,13836.5701
,3527.5044,13836.5683
,3527.4682,13836.5413
,3527.4407,13836.5238
,3527.4274,13836.5207
,3527.3922,13836.5301
,3527.3254,13836.5419
,3527.3147,13836.5457
,3527.2851,13836.5595
,3527.2688,13836.5658
,3527.2218,13836.5595
,3527.1816,13836.5426
,3527.1245,13836.4969
,3527.0898,13836.4737
,3527.0719,13836.4687
,3527.0566,13836.4706
,3526.9158,13836.5125
,3526.8419,13836.5382
,3526.8266,13836.5426
,3526.8066,13836.5451
,3526.7949,13836.5432
,3526.7709,13836.5332
,3526.7444,13836.5251
,3526.7097,13836.5007
,3526.6853,13836.4794
,3526.6582,13836.4499
,3526.6445,13836.4349
,3526.6343,13836.4192
,3526.6184,13836.3898
,3526.6062,13836.3635
,3526.5955,13836.3410
,3526.4027,13836.2151
,3526.2657,13836.1308
,3526.2083,13836.0357
,3526.1666,13835.9872
,3526.0936,13835.9343
,3526.0229,13835.8876
,3525.9804,13835.8520
,3525.9725,13835.8432
,3525.9788,13835.8395
,3526.0155,13835.8710
,3526.1031,13835.9270
,3526.1356,13835.9541
,3526.1697,13835.9798
,3526.2116,13836.0242
,3526.2378,13836.0654
,3526.2704,13836.1201
,3526.4057,13836.2032
,3526.5719,13836.3120
,3526.5866,13836.3223
,3526.6002,13836.3351
,3526.6239,13836.3867
,3526.6406,13836.4150
,3526.6511,13836.4285
,3526.6899,13836.4722
,3526.7272,13836.5006
,3526.7481,13836.5134
,3526.7896,13836.5321
,3526.8000,13836.5347
,3526.8373,13836.5308
,3526.9002,13836.5077
,3526.9784,13836.4845
,3527.0266,13836.4684
,3527.0618,13836.4600
,3527.0790,13836.4613
,3527.0922,13836.4651
,3527.1242,13836.4839
,3527.1855,13836.5321
,3527.2248,13836.5502
,3527.2678,13836.5559
,3527.2815,13836.5514
,3527.3234,13836.5328
,3527.3895,13836.5199
,3527.4246,13836.5115
,3527.4419,13836.5128
,3527.4566,13836.5205
,3527.4990,13836.5553
,3527.5143,13836.5611
,3527.5421,13836.5572
,3527.5599,13836.5463
,3527.5866,13836.5263
,3527.5992,13836.5128
,3527.6265,13836.4787
,3527.6742,13836.3763
,3527.6865,13836.3599
,3527.7006,13836.3510
,3527.7189,13836.3436
,3527.7309,13836.3415
,3527.7588,13836.3405
,3527.7734,13836.3415
,3527.8458,13836.3400
,3527.8696,13836.3456
,3527.8788,13836.3501
,3527.8935,13836.3591
,3527.9046,13836.3700
,3528.0339,13836.5414
,3528.2069,13836.7810
,3528.2533,13836.7950
,3528.2943,13836.8190
,3528.3065,13836.8182
,3528.3280,13836.8025
,3528.3892,13836.7248
,3528.4634,13836.6530
,3528.4671,13836.6446
,3528.4678,13836.6357
,3528.4556,13836.5070
,3528.4553,13836.4923
,3528.4575,13836.4789
,3528.4645,13836.4610
,3528.4709,13836.4546
,3528.4789,13836.4515
,3528.4854,13836.4500
,3528.4984,13836.4500
,3528.5118,13836.4535
,3528.5335,13836.4636
,3528.5556,13836.4686
,3528.6629,13836.4179
,3528.6770,13836.4165
,3528.6915,13836.4186
,3528.7040,13836.4273
,3528.7759,13836.5823
,3528.8363,13836.6445
,3528.8444,13836.6578
,3529.0077,13837.0620
,3529.0432,13837.1034
,3529.0834,13837.1287
,3529.1330,13837.1473
,3529.2260,13837.1815
,3529.2396,13837.1899
,3529.2620,13837.2078
,3529.2791,13837.2289
,3529.3676,13837.3906
,3529.3764,13837.4213
,3529.3775,13837.4500
,3529.3692,13837.4827
,3529.3614,13837.5025
,3529.2971,13837.6182
