国道16号 八王子ー横浜町田,00dc143c
,3541.0726,13920.7673
,3541.0065,13920.9589
,3540.8754,13921.1846
,3540.8328,13921.2305
,3540.7933,13921.2515
,3540.5780,13921.2844
,3540.4618,13921.2397
,3540.3829,13921.2082
,3540.2966,13921.1938
,3540.2657,13921.1938
,3540.1644,13921.2069
,3540.0663,13921.2305
,3539.9261,13921.2340
,3539.8275,13921.2023
,3539.7908,13921.1941
,3539.7459,13921.1941
,3539.7047,13921.2041
,3539.6811,13921.2158
,3539.5082,13921.3861
,3539.4788,13921.4015
,3539.4596,13921.4096
,3539.4258,13921.4115
,3539.3912,13921.4051
,3539.3603,13921.3870
,3539.0910,13921.1398
,3539.0458,13921.1125
,3539.0128,13921.1120
,3538.8216,13921.1483
,3538.7728,13921.1689
,3538.7036,13921.2002
,3538.6392,13921.2184
,3538.6026,13921.2152
,3538.4268,13921.1348
,3538.2962,13921.0909
,3538.2657,13921.0706
,3538.1986,13921.0202
,3538.0610,13920.9067
,3538.0010,13920.8831
,3537.9557,13920.8842
,3537.9426,13920.8863
,3537.7963,13920.9361
,3537.7716,13920.9398
,3537.7190,13920.9363
,3537.6820,13920.9227
,3537.4616,13920.8018
,3537.4239,13920.7854
,3537.4037,13920.7783
,3537.2596,13920.7448
,3537.2075,13920.7355
,3537.1722,13920.7242
,3537.1129,13920.6841
,3537.0589,13920.6240
,3536.9877,13920.5326
,3536.9235,13920.4837
,3536.9001,13920.4750
,3536.7057,13920.4374
,3536.5957,13920.3935
,3536.4227,13920.3184
,3536.3891,13920.3084
,3536.3340,13920.3097
,3536.0561,13920.3485
,3535.8728,13920.3259
,3535.8138,13920.3259
,3535.7812,13920.3297
,3535.5072,13920.4612
,3535.1702,13920.6791
,3534.9788,13921.2739
,3534.5693,13922.0403
,3534.0203,13923.2124
,3533.2776,13924.8053
,3533.1503,13925.0432
,3533.0168,13925.2423
,3532.9343,13925.3575
,3532.5573,13925.8058
,3532.2140,13926.1314
,3531.7034,13926.7375
,3531.6657,13926.7813
,3531.5046,13926.9266
,3531.1805,13927.1870
,3531.1296,13927.2209
,3530.9318,13927.3949
,3530.8992,13927.4488
,3530.8727,13927.5014
,3530.8554,13927.5590
,3530.8330,13927.8182
,3530.8187,13928.0774
,3530.8004,13928.1738
,3530.7606,13928.2652
,3530.5904,13928.5107
,3530.4069,13928.7887
,3530.3580,13928.8964
,3530.2479,13929.1531
,3530.2316,13929.1415
,3530.3265,13928.9014
,3530.3962,13928.7681
,3530.4323,13928.7070
,3530.5659,13928.5100
,3530.7375,13928.2508
,3530.7747,13928.1614
,3530.7885,13928.1140
,3530.8045,13927.9994
,3530.8222,13927.8089
,3530.8382,13927.6087
,3530.8516,13927.5201
,3530.8823,13927.4282
,3530.8931,13927.4029
,3530.9723,13927.3266
,3531.5328,13926.8810
,3531.6441,13926.7772
,3532.0004,13926.3512
,3532.1630,13926.1580
,3532.2122,13926.1172
,3532.5501,13925.7992
,3532.8668,13925.4272
,3533.0122,13925.2339
,3533.1416,13925.0315
,3533.2336,13924.8671
,3533.3929,13924.5320
,3533.8581,13923.5395
,3534.3435,13922.4984
,3534.7359,13921.6768
,3534.9594,13921.2917
,3535.1614,13920.6673
,3535.4853,13920.4636
,3535.7782,13920.3163
,3535.8466,13920.3085
,3536.0465,13920.3308
,3536.3415,13920.2887
,3536.3991,13920.2900
,3536.5392,13920.3413
,3536.6941,13920.4123
,3536.9100,13920.4583
,3536.9933,13920.5056
,3537.0660,13920.5937
,3537.1034,13920.6449
,3537.1761,13920.7028
,3537.2316,13920.7212
,3537.3620,13920.7475
,3537.4485,13920.7751
,3537.7232,13920.9184
,3537.7766,13920.9197
,3537.9582,13920.8645
,3538.0202,13920.8684
,3538.0757,13920.8921
,3538.2840,13921.0616
,3538.3760,13921.0998
,3538.4699,13921.1208
,3538.5629,13921.1734
,3538.6088,13921.1918
,3538.6430,13921.1957
,3538.7690,13921.1550
,3538.8246,13921.1353
,3539.0126,13921.0972
,3539.0457,13921.0985
,3539.0938,13921.1274
,3539.3490,13921.3627
,3539.3853,13921.3877
,3539.4260,13921.4008
,3539.4644,13921.3942
,3539.5007,13921.3758
,3539.6738,13921.2102
,3539.7218,13921.1852
,3539.7688,13921.1800
,3539.8169,13921.1852
,3539.9097,13921.2142
,3539.9493,13921.2196
,3540.0629,13921.2215
,3540.1655,13921.1920
,3540.2408,13921.1815
,3540.3032,13921.1847
,3540.3819,13921.1963
,3540.5068,13921.2500
,3540.5325,13921.2605
,3540.5984,13921.2721
,3540.7874,13921.2362
,3540.8250,13921.2152
,3540.8618,13921.1783
,3540.9354,13921.0499
,3540.9884,13920.9383
,3541.0561,13920.7541
,3541.0543,13920.7506
