国道16号 八王子ー入間,00dc143c
,3541.0770,	13920.7586
,3541.0943,	13920.7762
,3541.0999,	13920.7797
,3541.1054,	13920.7850
,3541.1145,	13920.7988
,3541.1400,	13920.8264
,3541.1610,	13920.8489
,3541.1751,	13920.8604
,3541.1919,	13920.8697
,3541.2090,	13920.8739
,3541.2293,	13920.8743
,3541.2786,	13920.8661
,3541.3488,	13920.8541
,3541.3652,	13920.8527
,3541.3807,	13920.8531
,3541.3970,	13920.8573
,3541.4490,	13920.8773
,3541.4990,	13920.8962
,3541.5113,	13920.8991
,3541.5230,	13920.9006
,3541.5331,	13920.8985
,3541.5455,	13920.8947
,3541.5570,	13920.8882
,3541.5729,	13920.8745
,3541.5846,	13920.8572
,3541.5941,	13920.8377
,3541.6194,	13920.7774
,3541.6271,	13920.7633
,3541.6445,	13920.7410
,3541.6530,	13920.7340
,3541.6790,	13920.7271
,3541.6878,	13920.7250
,3541.7051,	13920.7263
,3541.9889,	13920.8275
,3542.1662,	13920.8927
,3542.2451,	13920.9286
,3542.3489,	13920.9766
,3542.5259,	13920.6197
,3542.5691,	13920.5319
,3542.6113,	13920.4799
,3542.7745,	13920.3455
,3542.8404,	13920.2936
,3543.0956,	13920.4025
,3543.2469,	13920.4172
,3543.2945,	13920.4292
,3543.3281,	13920.4505
,3543.3497,	13920.4651
,3543.4394,	13920.5677
,3543.4685,	13920.5890
,3543.5099,	13920.6028
,3543.6284,	13920.5734
,3543.7205,	13920.5677
,3543.7406,	13920.5632
,3543.8939,	13920.5108
,3543.9934,	13920.4806
,3544.1869,	13920.3880
,3544.3616,	13920.3008
,3544.3967,	13920.2873
,3544.4696,	13920.2780
,3544.6790,	13920.2507
,3544.7885,	13920.2390
,3544.8387,	13920.2334
,3544.8548,	13920.2340
,3544.8724,	13920.2359
,3545.0145,	13920.3163
,3545.1276,	13920.3813
,3545.2069,	13920.4240
,3545.3767,	13920.5323
,3545.4410,	13920.5633
,3545.4683,	13920.5688
,3545.4933,	13920.5701
,3545.6433,	13920.5366
,3545.7105,	13920.5150
,3545.7994,	13920.4967
,3545.8361,	13920.4839
,3546.0335,	13920.3745
,3546.2909,	13920.2316
,3546.3705,	13920.1909
,3546.4077,	13920.1766
,3546.4467,	13920.1685
,3546.4878,	13920.1733
,3546.5278,	13920.1847
,3546.5892,	13920.2206
,3546.8052,	13920.3654
,3546.8435,	13920.3924
,3546.8736,	13920.4279
,3546.8955,	13920.4649
