国道20号 桜田門-新宿区四谷４丁目,00dc143c
,3540.6481,13945.1660
,3540.6477,13945.1604
,3540.6180,13945.0562
,3540.6216,13945.0277
,3540.6201,13944.9915
,3540.6303,13944.9442
,3540.6900,13944.8911
,3540.7067,13944.8785
,3540.7190,13944.8665
,3540.7335,13944.8509
,3540.7413,13944.8412
,3540.7527,13944.8237
,3540.7598,13944.8079
,3540.7684,13944.7794
,3540.7735,13944.7503
,3540.8106,13944.7220
,3540.9278,13944.6512
,3540.9942,13944.6338
,3541.0211,13944.6269
,3541.0258,13944.6235
,3541.0297,13944.6127
,3541.0446,13944.4455
,3541.0268,13944.2781
,3541.0253,13944.2150
,3541.0375,13944.0739
,3541.0869,13943.9795
,3541.1277,13943.8672
,3541.1405,13943.7780
,3541.1469,13943.7462
,3541.2002,13943.5940
,3541.2383,13943.4961
,3541.2660,13943.3825
,3541.2756,13943.3175
,3541.2754,13943.2943
,3541.2628,13943.1862
,3541.2411,13942.9715
,3541.2346,13942.9251
,3541.2294,13942.8881
,3541.2448,13942.8894
,3541.2500,13942.9190
,3541.2647,13942.9718
,3541.2942,13943.2734
,3541.2978,13943.3096
,3541.2944,13943.3452
,3541.2814,13943.4099
,3541.2509,13943.5215
,3541.2369,13943.5606
,3541.1978,13943.6668
,3541.1765,13943.7281
,3541.1576,13943.7851
,3541.1425,13943.8899
,3541.1069,13943.9871
,3541.0614,13944.0662
,3541.0515,13944.1049
,3541.0458,13944.1622
,3541.0437,13944.2710
,3541.0630,13944.4506
,3541.0431,13944.6572
,3541.0123,13944.6578
,3540.9574,13944.6675
,3540.9412,13944.6733
,3540.8047,13944.7544
,3540.7961,13944.7628
,3540.7906,13944.7727
,3540.7725,13944.8342
,3540.7548,13944.8587
,3540.7252,13944.8880
,3540.7119,13944.9028
,3540.6930,13944.9157
,3540.6881,13944.9199
,3540.6585,13944.9556
,3540.6512,13944.9707
,3540.6479,13944.9887
,3540.6468,13945.0058
,3540.6429,13945.0421
,3540.6444,13945.0734
,3540.6507,13945.1017
,3540.6816,13945.1921
,3540.6754,13945.2151
