国道20号 新宿-調布（仙川駅）,00dc143c
,3541.3620,13942.3615
,3541.3751,13942.3355
,3541.3800,13942.3194
,3541.3824,13942.3017
,3541.3743,13942.2125
,3541.3596,13942.1336
,3541.3293,13942.0098
,3541.3217,13941.9847
,3541.2819,13941.8771
,3541.2647,13941.8366
,3541.2247,13941.7594
,3541.2255,13941.7447
,3541.1855,13941.6645
,3541.0503,13941.4784
,3540.9515,13941.3224
,3540.8022,13941.0874
,3540.7713,13941.0163
,3540.6824,13940.8141
,3540.5784,13940.4623
,3540.5183,13940.2609
,3540.4199,13939.9196
,3540.3441,13939.6535
,3540.2879,13939.4333
,3540.2774,13939.4060
,3540.2704,13939.3999
,3540.2523,13939.3432
,3540.2351,13939.2608
,3540.2291,13939.1971
,3540.2016,13939.0323
,3540.1967,13939.0217
,3540.1851,13938.9908
,3540.1336,13938.9055
,3540.1098,13938.8543
,3540.0750,13938.7487
,3540.0484,13938.5395
,3540.0405,13938.4838
,3540.0335,13938.3583
,3540.0390,13938.2859
,3540.1404,13937.9814
,3540.1530,13937.9321
,3540.1666,13937.8262
,3540.2147,13937.4947
,3540.2338,13937.3740
,3540.2678,13937.1320
,3540.3088,13936.8320
,3540.3140,13936.7902
,3540.3230,13936.7461
,3540.3473,13936.6267
,3540.3635,13936.5407
,3540.3836,13936.4413
,3540.3857,13936.4155
,3540.3875,13936.3775
,3540.3854,13936.3418
,3540.3467,13936.0966
,3540.3300,13936.0025
,3540.3111,13935.9459
,3540.2918,13935.9057
,3540.2456,13935.8320
,3540.1436,13935.6672
,3539.9553,13935.3643
,3539.8588,13935.2066
,3539.8499,13935.2044
,3539.8326,13935.1586
,3539.7863,13935.0359
,3539.7944,13935.0274
,3539.7971,13935.0345
,3539.8398,13935.1509
,3539.8497,13935.1727
,3539.9263,13935.2977
,3540.0913,13935.5626
,3540.2631,13935.8381
,3540.3068,13935.9098
,3540.3209,13935.9407
,3540.3316,13935.9677
,3540.3392,13935.9951
,3540.3455,13936.0273
,3540.3808,13936.2460
,3540.3957,13936.3409
,3540.3983,13936.3882
,3540.3963,13936.4269
,3540.3698,13936.5717
,3540.3272,13936.7906
,3540.2831,13937.1208
,3540.2446,13937.3886
,3540.2378,13937.4443
,3540.2331,13937.5231
,3540.2141,13937.6564
,3540.1842,13937.8547
,3540.1771,13937.9182
,3540.1700,13937.9594
,3540.0665,13938.2749
,3540.0599,13938.3017
,3540.0563,13938.3329
,3540.0555,13938.3570
,3540.0642,13938.4975
,3540.0860,13938.6728
,3540.0940,13938.7044
,3540.1028,13938.7333
,3540.2079,13938.9596
,3540.2220,13939.0202
,3540.2487,13939.1747
,3540.2618,13939.2989
,3540.2686,13939.3002
,3540.2790,13939.3465
,3540.3089,13939.4238
,3540.4616,13939.9858
,3540.5186,13940.1892
,3540.5452,13940.2632
,3540.6440,13940.5999
,3540.7041,13940.8136
,3540.7591,13940.9282
,3540.8226,13941.0764
,3540.8967,13941.1937
,3540.9426,13941.2662
,3540.9643,13941.3035
,3541.1238,13941.5392
,3541.2119,13941.6602
,3541.2584,13941.7583
,3541.3463,13941.9817
,3541.3863,13942.1896
,3541.4004,13942.2479
,3541.3934,13942.3232
,3541.3865,13942.3451
,3541.3724,13942.3699
