国道20号 仙川-八王子,00dc143c
,3539.7863,13935.0359
,3539.7031,13934.8190
,3539.6299,13934.6903
,3539.6084,13934.6240
,3539.5907,13934.5724
,3539.5593,13934.4611
,3539.5012,13934.3002
,3539.4667,13934.2107
,3539.3325,13933.9957
,3539.2085,13933.7638
,3539.1339,13933.6112
,3539.1387,13933.5976
,3539.1623,13933.3180
,3539.1872,13933.0933
,3539.2707,13932.7957
,3539.3499,13932.5189
,3539.3949,13932.3760
,3539.4248,13932.2864
,3539.4345,13932.2741
,3539.4444,13932.2497
,3539.5301,13932.0641
,3539.5388,13932.0494
,3539.5569,13932.0084
,3539.5652,13931.9864
,3539.6039,13931.9051
,3539.6085,13931.8990
,3539.6501,13931.8114
,3539.7733,13931.5471
,3539.8691,13931.3158
,3539.9075,13931.2198
,3539.9677,13931.0735
,3540.0330,13930.9149
,3540.1653,13930.5911
,3540.1952,13930.5140
,3540.2046,13930.4581
,3540.2078,13930.2983
,3540.2161,13929.9257
,3540.2212,13929.6815
,3540.2237,13929.5392
,3540.2212,13929.5246
,3540.3158,13929.1878
,3540.3910,13928.9178
,3540.3927,13928.9027
,3540.3885,13928.7366
,3540.4010,13928.6218
,3540.4015,13928.5922
,3540.3957,13928.5072
,3540.3780,13928.2355
,3540.3623,13927.9536
,3540.3476,13927.7238
,3540.3461,13927.6781
,3540.3973,13927.5352
,3540.5442,13927.2062
,3540.6499,13927.0086
,3540.6326,13926.9925
,3540.6065,13926.9571
,3540.5882,13926.9301
,3540.5741,13926.8959
,3540.5583,13926.8554
,3540.5453,13926.8007
,3540.5427,13926.7743
,3540.5417,13926.6842
,3540.5432,13926.5264
,3540.5411,13926.4267
,3540.5411,13926.1936
,3540.5414,13926.0478
,3540.5393,13925.9519
,3540.5367,13925.9017
,3540.5273,13925.8508
,3540.5156,13925.8119
,3540.5093,13925.7919
,3540.4397,13925.6584
,3540.4004,13925.5743
,3540.3203,13925.4258
,3540.2714,13925.3349
,3540.2258,13925.2487
,3540.2139,13925.2186
,3540.2018,13925.1776
,3540.1946,13925.1402
,3540.1904,13925.1007
,3540.1891,13925.0530
,3540.1869,13924.7362
,3540.1865,13924.5259
,3540.1557,13924.2668
,3540.1325,13924.0653
,3540.1317,13924.0139
,3540.1152,13923.8597
,3540.1136,13923.8264
,3540.1233,13923.6515
,3540.1326,13923.4015
,3540.0953,13923.1144
,3540.0567,13922.8117
,3540.0392,13922.6524
,3540.0348,13922.6272
,3539.9408,13922.2861
,3539.9036,13922.0449
,3539.9085,13922.0147
,3539.9493,13921.8878
,3539.9519,13921.8602
,3539.9499,13921.8351
,3539.8599,13921.5969
,3539.7553,13921.3027
,3539.7213,13920.9107
,3539.5712,13920.7633
,3539.5632,13920.7271
,3539.5703,13920.5596
,3539.5780,13920.3602
,3539.5898,13920.3599
,3539.5780,13920.5635
,3539.5743,13920.7351
,3539.5811,13920.7549
,3539.7216,13920.8918
,3539.7344,13920.9097
,3539.7540,13921.1369
,3539.7578,13921.2109
,3539.7653,13921.2860
,3539.7672,13921.2988
,3539.7874,13921.3531
,3539.8659,13921.5815
,3539.9373,13921.7659
,3539.9687,13921.8481
,3539.9621,13921.8874
,3539.9180,13922.0215
,3539.9161,13922.0359
,3539.9152,13922.0579
,3539.9481,13922.2759
,3540.0504,13922.6424
,3540.0857,13922.9402
,3540.1430,13923.3934
,3540.1242,13923.8438
,3540.1425,13924.0086
,3540.1467,13924.0277
,3540.1763,13924.2665
,3540.1871,13924.4023
,3540.2012,13924.5301
,3540.2031,13925.0915
,3540.2064,13925.1163
,3540.2106,13925.1464
,3540.2233,13925.1944
,3540.2402,13925.2441
,3540.3299,13925.4118
,3540.4304,13925.6003
,3540.4722,13925.6754
,3540.5280,13925.7823
,3540.5419,13925.8243
,3540.5530,13925.8654
,3540.5587,13925.9093
,3540.5600,13925.9400
,3540.5571,13926.0378
,3540.5562,13926.2377
,3540.5543,13926.4416
,3540.5571,13926.6367
,3540.5565,13926.7536
,3540.5581,13926.7775
,3540.5656,13926.8215
,3540.5740,13926.8522
,3540.5857,13926.8877
,3540.5976,13926.9136
,3540.6168,13926.9428
,3540.6320,13926.9643
,3540.6531,13926.9890
,3540.6664,13926.9974
,3540.6009,13927.1187
,3540.5578,13927.1965
,3540.4797,13927.3717
,3540.4149,13927.5217
,3540.3983,13927.5601
,3540.3544,13927.6880
,3540.3807,13928.1457
,3540.4106,13928.6060
,3540.3977,13928.7374
,3540.4024,13928.9120
,3540.2739,13929.3742
,3540.2409,13929.4935
,3540.2348,13929.5291
,3540.2322,13929.5652
,3540.2284,13929.7615
,3540.2210,13930.1195
,3540.2153,13930.4192
,3540.2127,13930.4635
,3540.2064,13930.5007
,3540.1974,13930.5327
,3540.1263,13930.7110
,3540.0426,13930.9135
,3539.9195,13931.2154
,3539.9102,13931.2478
,3539.8241,13931.4550
,3539.7817,13931.5646
,3539.6923,13931.7429
,3539.5937,13931.9549
,3539.5157,13932.1206
,3539.4342,13932.3029
,3539.4072,13932.3791
,3539.3979,13932.3967
,3539.3726,13932.4733
,3539.2630,13932.8549
,3539.1964,13933.0933
,3539.1622,13933.4026
,3539.1512,13933.5464
,3539.1512,13933.5841
,3539.1546,13933.6107
,3539.1600,13933.6388
,3539.1672,13933.6590
,3539.2266,13933.7780
,3539.3277,13933.9666
,3539.4125,13934.1022
,3539.4629,13934.1827
,3539.4750,13934.2060
,3539.4942,13934.2582
,3539.5441,13934.3864
,3539.5933,13934.5430
,3539.6195,13934.6292
,3539.6340,13934.6689
,3539.6475,13934.7023
,3539.6628,13934.7303
,3539.7120,13934.8105
,3539.7345,13934.8678
,3539.7949,13935.0298
