R246 東京都内（三宅坂-多摩川）,00dc143c
,3540.7727,13944.7574
,3540.7758,13944.7250
,3540.7223,13944.4420
,3540.7097,13944.3725
,3540.7023,13944.2621
,3540.6971,13944.2283
,3540.6906,13944.2113
,3540.6582,13944.1726
,3540.6341,13944.1263
,3540.5902,13944.0520
,3540.5393,13943.9691
,3540.4823,13943.8725
,3540.4592,13943.7698
,3540.4221,13943.6653
,3540.3879,13943.5487
,3540.3521,13943.4316
,3540.3068,13943.3012
,3540.2877,13943.2465
,3540.2409,13943.1403
,3540.2257,13943.1035
,3540.1985,13943.0273
,3540.1873,13943.0093
,3540.0858,13942.9268
,3539.9632,13942.8158
,3539.8989,13942.7585
,3539.7736,13942.6420
,3539.5973,13942.3630
,3539.5035,13942.2751
,3539.4773,13942.2603
,3539.4734,13942.2194
,3539.4637,13942.1830
,3539.4663,13942.1641
,3539.4438,13942.1080
,3539.3586,13941.8431
,3539.3259,13941.7085
,3539.3181,13941.6905
,3539.2565,13941.6417
,3539.2360,13941.6169
,3539.2210,13941.5873
,3539.2017,13941.5329
,3539.1588,13941.3874
,3539.1250,13941.2859
,3539.0953,13941.2025
,3539.0218,13941.0636
,3538.9352,13940.8979
,3538.8275,13940.6917
,3538.6872,13940.4353
,3538.6556,13940.3875
,3538.6326,13940.3441
,3538.6196,13940.3138
,3538.6038,13940.2751
,3538.5930,13940.2591
,3538.5531,13940.2221
,3538.3944,13940.1022
,3538.2398,13939.9898
,3538.1748,13939.9421
,3538.1339,13939.8971
,3538.0661,13939.8023
,3538.0202,13939.7368
,3537.9634,13939.6382
,3537.8920,13939.5145
,3537.8534,13939.3831
,3537.8144,13939.2322
,3537.7155,13938.9360
,3537.6617,13938.7789
,3537.5439,13938.4979
,3537.4694,13938.3332
,3537.3981,13938.1763
,3537.2694,13937.8987
,3537.2524,13937.8671
,3537.1053,13937.7374
,3537.0575,13937.7020
,3537.0397,13937.6942
,3537.0276,13937.6939
,3537.0125,13937.6878
,3536.9657,13937.6743
,3536.9424,13937.6515
,3536.8955,13937.6012
,3536.8584,13937.5439
,3536.8207,13937.4880
,3536.8188,13937.4911
,3536.7994,13937.4626
,3536.7279,13937.3497
,3536.7195,13937.3306
,3536.7049,13937.3068
,3536.7122,13937.2949
,3536.7240,13937.3139
,3536.7376,13937.3294
,3536.8305,13937.4771
,3536.8279,13937.4806
,3536.8996,13937.5894
,3536.9373,13937.6319
,3536.9792,13937.6596
,3537.0425,13937.6686
,3537.0848,13937.6931
,3537.1026,13937.7079
,3537.2424,13937.8321
,3537.2814,13937.8775
,3537.4321,13938.2110
,3537.5304,13938.4266
,3537.6461,13938.6950
,3537.6885,13938.8012
,3537.8208,13939.2010
,3537.8658,13939.3633
,3537.8925,13939.4688
,3537.9035,13939.4978
,3538.0113,13939.6889
,3538.0887,13939.8049
,3538.1457,13939.8840
,3538.1844,13939.9265
,3538.3948,13940.0791
,3538.5329,13940.1809
,3538.5705,13940.2143
,3538.6250,13940.2664
,3538.6579,13940.3437
,3538.7055,13940.4223
,3538.7703,13940.5388
,3538.8389,13940.6669
,3538.9739,13940.9250
,3539.1146,13941.1967
,3539.1392,13941.2540
,3539.2286,13941.5494
,3539.2427,13941.5784
,3539.3348,13941.6659
,3539.3604,13941.7419
,3539.4069,13941.9086
,3539.4635,13942.0908
,3539.4933,13942.1761
,3539.4976,13942.1996
,3539.5024,13942.2409
,3539.5061,13942.2533
,3539.6229,13942.3603
,3539.7836,13942.6159
,3539.9744,13942.7935
,3540.2039,13942.9903
,3540.2156,13943.0115
,3540.2227,13943.0279
,3540.2460,13943.0913
,3540.2886,13943.1898
,3540.3119,13943.2497
,3540.3798,13943.4486
,3540.4430,13943.6544
,3540.4772,13943.7555
,3540.4976,13943.8401
,3540.5063,13943.8649
,3540.5907,13944.0104
,3540.6388,13944.0912
,3540.6801,13944.1552
,3540.7196,13944.2148
,3540.7290,13944.3239
,3540.7361,13944.3992
,3540.7724,13944.5942
,3540.7962,13944.7132
,3540.8111,13944.7243
