R246 多摩川-厚木,00dc143c
,3536.7049,13937.3068
,3536.6013,13937.1298
,3536.5557,13937.0081
,3536.5332,13936.9444
,3536.5002,13936.8775
,3536.4531,13936.7834
,3536.4390,13936.7693
,3536.3616,13936.6168
,3536.3354,13936.5659
,3536.3051,13936.5227
,3536.2731,13936.4803
,3536.2344,13936.4339
,3536.2130,13936.4165
,3536.1297,13936.3741
,3536.0449,13936.3354
,3535.9596,13936.2981
,3535.8371,13936.2331
,3535.7352,13936.1792
,3535.5396,13936.0974
,3535.4210,13936.0530
,3535.2735,13935.9956
,3535.1801,13935.9590
,3535.1624,13935.9577
,3535.0895,13935.9299
,3535.0364,13935.9090
,3535.0020,13935.8955
,3534.9804,13935.8846
,3534.9642,13935.8711
,3534.9429,13935.8485
,3534.9217,13935.8202
,3534.9075,13935.7941
,3534.9088,13935.7870
,3534.8801,13935.7327
,3534.8561,13935.6757
,3534.8534,13935.6568
,3534.8441,13935.6365
,3534.8370,13935.6203
,3534.8115,13935.5604
,3534.7811,13935.4883
,3534.7604,13935.4393
,3534.7226,13935.3497
,3534.7103,13935.3086
,3534.7022,13935.2764
,3534.6821,13935.1817
,3534.6637,13935.0934
,3534.6525,13935.0430
,3534.5868,13934.7296
,3534.5697,13934.6509
,3534.4994,13934.3897
,3534.4721,13934.2553
,3534.4679,13934.2403
,3534.4605,13934.2214
,3534.4146,13934.1523
,3534.3953,13934.1304
,3534.3840,13934.1221
,3534.3299,13934.0932
,3534.3164,13934.0852
,3534.3051,13934.0770
,3534.2675,13934.0459
,3534.2106,13933.9981
,3534.1741,13933.9718
,3534.1241,13933.9276
,3534.0255,13933.8559
,3533.9427,13933.8064
,3533.8944,13933.7743
,3533.8537,13933.7357
,3533.8434,13933.7239
,3533.6993,13933.5802
,3533.6789,13933.5562
,3533.6360,13933.4850
,3533.5628,13933.3621
,3533.5502,13933.3324
,3533.5265,13933.2741
,3533.4883,13933.1684
,3533.4578,13933.1002
,3533.4508,13933.0862
,3533.4369,13933.0628
,3533.4272,13933.0470
,3533.3760,13932.9401
,3533.3165,13932.8220
,3533.2565,13932.6961
,3533.2305,13932.6466
,3533.1380,13932.4559
,3533.1051,13932.3873
,3533.0594,13932.2934
,3533.0163,13932.2124
,3532.9463,13932.0938
,3532.9074,13932.0089
,3532.8562,13931.8846
,3532.7583,13931.6804
,3532.6965,13931.5489
,3532.6823,13931.5207
,3532.5794,13931.3020
,3532.4897,13931.1108
,3532.3859,13930.8797
,3532.3602,13930.8313
,3532.3446,13930.8071
,3532.2540,13930.6952
,3532.1401,13930.5569
,3532.0211,13930.4118
,3531.7985,13930.1311
,3531.7021,13930.0011
,3531.6895,13929.9785
,3531.6764,13929.9535
,3531.6010,13929.6689
,3531.5821,13929.6194
,3531.5717,13929.5975
,3531.5423,13929.5537
,3531.4946,13929.4958
,3531.3878,13929.3535
,3531.2573,13929.1894
,3531.1818,13929.0889
,3531.0173,13928.9506
,3530.8848,13928.8488
,3530.8277,13928.8037
,3530.7800,13928.7484
,3530.6621,13928.6371
,3530.5992,13928.5810
,3530.4645,13928.4671
,3530.3398,13928.3480
,3530.2266,13928.2456
,3530.1873,13928.2128
,3530.1192,13928.1691
,3530.0684,13928.1208
,3530.0238,13928.0770
,3530.0013,13928.0590
,3529.8294,13927.9740
,3529.7177,13927.9193
,3529.6071,13927.8716
,3529.4924,13927.8240
,3529.4447,13927.8124
,3529.4347,13927.8111
,3529.2255,13927.8388
,3529.1925,13927.7744
,3529.1375,13927.6907
,3529.0961,13927.6187
,3529.0101,13927.4050
,3528.9174,13927.1861
,3528.8303,13926.9665
,3528.7559,13926.7856
,3528.7349,13926.7342
,3528.7229,13926.6904
,3528.7066,13926.6415
,3528.6966,13926.5938
,3528.6878,13926.5391
,3528.6883,13926.4915
,3528.6993,13926.3531
,3528.7056,13926.1741
,3528.7134,13926.0653
,3528.7192,13925.6900
,3528.7271,13925.3161
,3528.7260,13925.2568
,3528.7203,13925.2027
,3528.7061,13925.1499
,3528.6966,13925.1139
,3528.6815,13925.0804
,3528.6610,13925.0425
,3528.6306,13924.9935
,3528.6039,13924.9613
,3528.5777,13924.9356
,3528.4539,13924.8210
,3528.3056,13924.6846
,3528.0324,13924.4290
,3527.9811,13924.3807
,3527.9549,13924.3537
,3527.9333,13924.3292
,3527.9045,13924.2925
,3527.8741,13924.2391
,3527.8542,13924.1953
,3527.8364,13924.1367
,3527.8253,13924.0865
,3527.8227,13924.0505
,3527.8185,13923.9386
,3527.8206,13923.6679
,3527.8196,13923.5563
,3527.8159,13923.5223
,3527.8425,13923.1297
,3527.8619,13922.8718
,3527.8760,13922.6512
,3527.8911,13922.4112
,3527.8880,13922.3798
,3527.9037,13921.9532
