R246 厚木-松田,00dc143c
,3525.9132,13921.4014
,3525.7952,13921.2855
,3525.7034,13921.1548
,3525.6620,13921.1039
,3525.5560,13921.0338
,3525.3572,13920.9224
,3525.3389,13920.9095
,3525.3142,13920.8780
,3525.2633,13920.8001
,3525.2408,13920.7737
,3525.1343,13920.6727
,3525.0115,13920.5497
,3524.9900,13920.5227
,3524.9134,13920.3611
,3524.8085,13920.1377
,3524.7261,13919.9517
,3524.6684,13919.8139
,3524.5199,13919.4715
,3524.4140,13919.2230
,3524.4134,13919.2075
,3524.2949,13918.9346
,3524.1374,13918.5606
,3524.0949,13918.4582
,3524.0755,13918.4042
,3524.0089,13918.1846
,3523.9496,13918.0051
,3523.9223,13917.9226
,3523.9097,13917.8821
,3523.8698,13917.6780
,3523.7659,13917.4714
,3523.5633,13917.1025
,3523.4736,13916.9545
,3523.4558,13916.9146
,3523.4427,13916.8688
,3523.4285,13916.8077
,3523.4185,13916.6725
,3523.4143,13916.6596
,3523.3928,13916.3932
,3523.3708,13916.1505
,3523.3530,13915.9949
,3523.3417,13915.9409
,3523.3016,13915.8223
,3523.2647,13915.7196
,3523.2371,13915.6469
,3523.2229,13915.6121
,3523.1998,13915.5721
,3523.1296,13915.4624
,3523.1065,13915.4241
,3523.0937,13915.3984
,3523.0814,13915.3684
,3523.0739,13915.3388
,3523.0689,13915.3031
,3523.0611,13915.2344
,3523.0487,13915.0631
,3523.0327,13914.8560
,3523.0259,13914.7532
,3523.0175,13914.6965
,3523.0046,13914.6241
,3522.9875,13914.5600
,3522.9671,13914.5034
,3522.9474,13914.4586
,3522.9234,13914.4134
,3522.8780,13914.3397
,3522.8150,13914.2392
,3522.7956,13914.2063
,3522.7881,13914.1922
,3522.7806,13914.1694
,3522.7742,13914.1373
,3522.7727,13914.1154
,3522.7778,13914.0812
,3522.7953,13914.0206
,3522.8124,13913.9530
,3522.8372,13913.8709
,3522.8404,13913.8709
,3522.8572,13913.8187
,3522.8665,13913.7884
,3522.8723,13913.7537
,3522.8733,13913.7349
,3522.8736,13913.7146
,3522.8726,13913.7014
,3522.8604,13913.6150
,3522.8408,13913.4697
,3522.8307,13913.3893
,3522.8186,13913.2872
,3522.8005,13913.1621
,3522.7847,13913.0501
,3522.7571,13912.9506
,3522.7217,13912.8580
,3522.6816,13912.7522
,3522.6303,13912.6223
,3522.5069,13912.3079
,3522.4100,13912.0736
,3522.2996,13911.8194
,3522.2873,13911.7609
,3522.2867,13911.7063
,3522.2954,13911.6715
,3522.4022,13911.4381
,3522.4651,13911.3159
,3522.5040,13911.2143
,3522.5985,13910.9555
,3522.6239,13910.8289
,3522.6311,13910.7974
,3522.6732,13910.6717
,3522.7142,13910.4551
,3522.6947,13910.2075
,3522.6819,13910.1760
,3522.6706,13910.1559
,3522.4455,13909.8423
,3522.4306,13909.8265
,3522.4169,13909.8140
,3522.4044,13909.8086
,3522.3843,13909.8053
,3522.2946,13909.7962
,3522.2597,13909.7914
,3522.2366,13909.7822
,3522.1773,13909.7505
,3522.1455,13909.7346
,3522.1268,13909.7317
,3522.0719,13909.7303
,3522.0461,13909.7273
,3522.0338,13909.7212
,3522.0053,13909.6981
,3521.9874,13909.6949
,3521.9650,13909.6825
,3521.9463,13909.6652
,3521.9442,13909.6387
,3521.9402,13909.6228
,3521.9313,13909.6034
,3521.9238,13909.5942
,3521.8486,13909.5412
,3521.8305,13909.5328
,3521.7481,13909.5105
,3521.6879,13909.4953
,3521.6686,13909.4923
,3521.6510,13909.4927
